,e_1,f_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.62,0.69,0.62,0.74,0.58,0.51,0.95,0.82,0.78,1.81,0.94,0.9,1.07,0.92,0.46,0.99
f_1,1.07,2.78,0.59,0.54,0.52,0.6,0.76,0.8,0.62,0.79,0.9,0.28,0.87,0.86,0.64,0.85
d_1,0.58,0.64,2.95,0.54,0.58,0.68,0.95,1.73,1.01,0.4,0.96,0.97,0.97,0.96,1.11,0.87
c_1,0.61,0.6,0.59,3.4,1.11,0.43,0.79,0.31,0.94,0.82,0.82,1.02,0.92,0.71,0.87,1.02
b_1,0.58,0.64,0.62,0.62,3.85,1.18,0.91,0.77,0.69,0.82,0.27,0.95,0.96,0.72,0.89,0.89
a_1,0.62,0.61,0.59,0.69,0.54,4.71,0.97,0.9,1.09,0.68,1.11,1.18,1.01,0.58,1.17,1.02
h_1,0.62,1.02,0.77,0.7,0.69,0.63,3.06,1.0,1.51,1.11,1.3,1.25,0.62,1.07,1.33,1.49
c_0,0.77,0.77,0.85,0.39,0.6,0.65,1.35,2.38,1.24,1.25,2.35,1.36,1.36,1.61,1.38,1.28
g_1,0.56,0.67,1.14,0.65,0.85,0.83,0.92,1.17,3.77,0.79,1.25,1.77,0.92,1.15,1.1,0.54
d_0,0.69,0.8,0.38,1.43,0.74,0.63,0.98,0.95,1.09,2.17,1.18,1.1,1.34,1.16,1.17,1.46
b_0,0.66,0.82,0.95,0.75,0.51,0.52,1.12,1.24,1.13,1.12,2.53,1.26,1.1,2.68,1.33,1.29
f_0,0.52,0.42,0.96,0.96,0.77,0.81,1.21,1.21,1.2,1.42,1.14,2.82,1.31,1.42,2.59,1.3
h_0,0.83,1.03,0.82,0.77,0.74,0.58,0.64,1.04,1.46,1.11,1.35,1.06,0.64,1.17,1.21,1.44
a_0,0.71,0.75,0.97,0.85,0.68,0.19,1.16,1.35,1.09,1.22,1.02,1.21,1.47,3.47,1.49,1.16
e_0,0.33,0.98,0.66,0.76,0.7,0.85,1.47,1.41,1.44,1.06,1.4,1.45,1.5,1.57,3.78,1.25
g_0,0.67,0.69,1.28,0.83,0.66,0.58,0.96,1.21,0.69,0.96,1.25,1.77,1.07,1.23,1.33,0.84
