,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.43,0.86,1.15,1.29,1.75,1.16,0.73,0.69,0.62,0.78,0.57,0.71,0.6,0.69,1.88,0.56
f_1,1.48,0.41,1.19,1.61,1.09,1.08,0.52,0.53,0.53,0.76,0.61,1.21,0.39,0.51,0.57,0.68
d_1,1.68,1.47,0.39,1.1,1.43,1.38,0.62,1.13,0.6,0.44,0.52,0.57,0.5,0.62,0.49,0.34
c_1,1.16,1.18,1.85,0.38,1.43,1.25,0.69,0.34,1.05,0.72,0.64,0.5,0.53,0.48,0.66,0.48
b_1,1.08,1.69,1.18,0.76,0.36,1.95,0.71,0.61,0.66,0.9,1.9,0.63,0.5,0.89,0.55,0.41
a_1,1.53,1.49,1.25,1.42,0.77,0.31,0.96,0.66,0.49,0.61,0.53,0.51,0.49,1.94,0.61,0.72
h_1,0.98,0.91,1.03,1.13,1.02,0.76,0.26,0.49,0.43,0.57,0.43,0.41,0.58,0.35,0.4,0.43
d_0,0.59,1.1,2.22,1.23,0.85,0.82,0.61,0.28,0.51,0.61,0.39,0.47,0.34,0.42,0.4,0.39
c_0,0.93,0.94,0.6,3.03,0.98,1.16,0.55,0.5,0.27,0.57,0.51,0.43,0.33,0.42,0.4,0.37
g_1,0.89,1.06,1.05,1.09,0.75,1.35,0.42,0.48,0.4,0.23,0.44,0.4,0.28,0.32,0.38,0.51
b_0,0.94,0.88,1.06,0.99,1.18,0.98,0.49,0.48,0.29,0.57,0.26,0.38,0.37,0.54,0.38,0.36
f_0,0.84,1.91,0.91,1.06,0.92,1.04,0.54,0.42,0.46,0.41,0.4,0.25,0.33,0.35,0.41,0.23
h_0,0.77,1.11,0.94,0.98,0.94,0.97,0.9,0.45,0.42,0.6,0.42,0.4,0.57,0.38,0.36,0.4
a_0,0.82,0.97,0.93,1.17,0.95,,0.54,0.46,0.45,0.65,0.26,0.45,0.41,0.21,0.42,0.34
e_0,,1.24,1.1,0.81,0.82,0.77,0.6,0.45,0.44,0.42,0.43,0.25,0.33,0.44,0.2,0.38
g_0,1.02,0.78,1.11,1.06,1.03,0.84,0.43,0.47,0.42,0.96,0.42,0.45,0.31,0.37,0.42,0.49
