,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.0,0.88,1.26,1.78,2.01,3.35,21.97,29.08,41.56,50.75,52.32,53.0,82.62,96.92,108.57,133.81
f_1,1.13,1.0,0.93,1.52,1.39,3.12,13.08,20.44,24.94,28.58,38.07,38.59,60.69,58.07,66.95,114.75
d_1,0.8,1.06,1.0,1.19,1.67,3.21,16.73,18.53,35.7,34.48,38.07,41.72,63.31,62.98,98.32,82.86
c_1,0.57,0.65,0.84,1.0,1.59,2.41,12.33,13.88,13.46,17.07,29.54,24.43,50.91,54.38,59.67,77.46
b_1,0.5,0.73,0.6,0.63,1.0,2.82,11.38,13.84,19.22,19.68,28.23,30.13,38.69,52.38,45.4,74.94
a_1,0.3,0.32,0.31,0.42,0.35,1.0,5.49,7.68,9.45,12.68,14.1,14.58,27.58,26.91,31.94,40.43
h_1,0.05,0.08,0.06,0.08,0.09,0.18,1.0,1.77,1.71,1.86,2.36,2.62,4.16,4.9,5.29,8.23
g_1,0.04,0.05,0.06,0.07,0.07,0.12,0.58,1.0,1.27,1.24,2.33,1.83,3.03,3.06,3.46,5.56
c_0,0.02,0.04,0.03,0.07,0.05,0.11,0.58,0.74,1.0,1.17,1.42,2.28,2.78,2.86,3.43,4.42
d_0,0.02,0.03,0.03,0.06,0.05,0.07,0.53,0.8,0.84,1.0,1.19,1.33,2.39,2.89,2.86,3.45
f_0,0.02,0.03,0.03,0.04,0.04,0.07,0.42,0.44,0.69,0.82,1.0,0.95,1.75,1.86,3.02,2.18
b_0,0.02,0.03,0.02,0.04,0.04,0.07,0.37,0.57,0.46,0.75,1.09,1.0,2.27,1.94,1.87,2.79
a_0,0.01,0.02,0.02,0.02,0.03,0.03,0.25,0.33,0.36,0.44,0.6,0.43,1.0,1.19,1.03,1.64
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.2,0.32,0.34,0.36,0.52,0.51,0.86,1.0,0.96,1.64
e_0,0.01,0.01,0.01,0.02,0.02,0.03,0.18,0.3,0.34,0.37,0.34,0.52,0.91,0.98,1.0,1.14
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.12,0.18,0.23,0.28,0.47,0.37,0.63,0.6,0.81,1.0
