,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,6.22,1.79,1.2,1.9,1.3,1.27,5.89,6.02,6.43,13.75,7.68,6.89,8.22,12.24,4.05,10.04
f_1,2.62,6.22,1.32,1.54,1.17,1.54,4.96,4.68,7.27,7.55,6.47,3.69,8.29,10.26,5.99,8.97
d_1,1.32,1.69,6.43,1.13,1.64,1.49,6.1,5.87,13.71,2.99,8.54,7.32,6.94,10.68,8.09,11.76
c_1,1.37,1.17,1.53,6.54,2.96,1.47,5.07,4.54,2.28,6.86,4.61,8.05,5.32,9.85,8.09,10.32
b_1,1.38,1.78,1.54,1.3,6.98,2.9,5.13,5.08,6.8,6.39,4.36,6.74,6.11,11.18,9.38,10.34
a_1,1.55,1.35,1.78,1.8,1.34,10.58,5.96,6.06,6.1,7.12,7.86,7.76,3.8,11.65,7.21,11.49
h_1,1.5,2.44,2.01,2.14,1.8,1.75,15.3,8.51,7.65,7.58,9.13,7.85,8.93,8.73,8.46,18.51
g_1,1.45,1.59,2.86,2.26,1.69,1.49,7.3,20.55,8.48,7.3,8.49,14.28,9.05,11.88,10.37,9.61
c_0,1.88,2.17,2.11,1.22,1.6,1.6,6.63,7.81,17.13,7.39,18.19,9.51,13.53,16.01,10.12,16.03
d_0,1.92,2.06,0.96,3.58,1.8,1.76,6.99,6.19,5.7,16.82,7.7,8.8,7.23,11.38,8.47,10.78
b_0,1.67,2.32,2.19,2.11,0.89,1.51,6.33,6.54,11.03,8.56,19.16,10.34,21.47,18.18,10.26,14.0
f_0,1.59,1.34,2.11,2.03,2.12,1.91,7.6,7.37,9.44,7.79,9.66,19.93,7.67,14.79,22.43,15.09
a_0,2.03,1.89,1.98,2.28,1.6,1.08,6.79,7.45,8.56,10.5,9.27,9.42,24.73,15.28,9.14,16.02
h_0,2.01,2.7,2.07,1.74,1.77,1.45,4.23,9.17,8.73,9.45,8.61,6.82,8.95,7.98,9.82,17.62
e_0,1.21,1.97,2.33,1.91,2.12,1.98,6.66,6.78,11.5,8.7,10.26,10.14,9.65,14.46,26.06,15.35
g_0,1.6,1.72,3.07,1.85,1.82,1.62,5.79,5.01,9.1,7.37,8.42,15.09,6.72,14.35,14.35,10.34
