,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,10.45,0.7,0.59,1.0,0.67,0.66,0.92,0.9,2.44,0.86,0.93,0.87,1.05,1.02,0.69,0.84
f_1,1.69,11.21,0.64,0.71,0.57,0.6,0.84,0.73,0.93,0.86,1.04,0.55,0.87,0.85,0.69,0.82
d_1,0.57,0.75,12.84,0.5,0.67,0.7,1.0,1.08,0.59,2.77,1.46,1.08,1.01,1.07,1.02,1.21
c_1,0.57,0.66,0.64,12.52,1.74,0.72,0.97,0.9,0.79,0.45,0.61,0.94,0.9,0.85,0.93,0.81
b_1,0.6,0.68,0.79,0.65,12.99,1.73,0.93,0.91,0.79,0.68,0.54,1.07,0.64,1.01,0.98,1.09
a_1,0.74,0.76,0.78,0.66,0.61,17.94,1.08,1.08,0.79,1.05,0.96,1.0,0.84,1.07,1.24,1.08
h_1,0.7,1.24,1.07,0.83,0.7,0.58,3.13,1.46,0.82,0.95,1.0,1.1,1.01,0.68,1.15,1.54
g_1,0.59,0.57,1.73,0.83,0.7,0.68,1.01,3.93,1.03,1.08,1.02,1.94,1.03,1.23,1.24,0.74
d_0,0.72,0.68,0.59,2.36,0.94,0.74,1.03,1.0,1.83,0.67,0.88,1.11,1.02,1.15,1.12,1.07
c_0,0.77,0.86,0.9,0.65,0.67,0.66,1.07,1.07,1.11,2.38,3.76,1.42,1.79,1.38,1.15,1.33
b_0,0.78,0.9,0.84,0.96,0.52,0.58,1.08,1.05,1.07,1.01,2.7,1.24,3.52,1.39,1.16,1.13
f_0,0.55,0.62,1.04,0.87,0.71,0.94,0.97,1.16,1.25,1.34,1.13,3.21,1.51,1.45,3.59,1.41
a_0,0.98,1.05,0.89,0.76,0.71,0.59,1.1,1.05,0.86,1.07,1.36,1.16,2.35,1.32,1.35,1.06
h_0,0.7,1.39,0.9,0.8,0.7,0.72,0.68,1.03,0.87,1.0,1.18,0.94,0.87,0.76,1.4,1.28
e_0,0.58,0.97,0.89,0.8,0.9,0.82,1.21,1.17,0.86,0.94,1.11,1.12,1.11,1.17,2.81,1.27
g_0,0.56,0.76,1.85,0.72,0.66,0.64,1.04,0.83,0.71,1.27,1.01,2.07,1.06,1.09,1.41,0.92
