,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,2.27,0.97,0.68,0.99,0.74,0.59,1.37,3.02,1.54,1.33,1.85,1.62,2.36,1.54,0.95,1.73
f_1,1.47,2.33,0.73,0.76,0.61,0.57,1.62,1.89,1.67,1.18,1.67,0.96,1.79,1.32,0.92,1.91
d_1,0.84,0.9,2.48,0.52,0.73,0.63,1.68,0.99,3.21,1.43,1.99,1.8,2.21,1.57,1.42,2.05
c_1,0.72,0.78,0.74,2.55,1.44,0.67,1.34,1.77,0.78,1.09,1.31,1.49,2.03,1.13,1.3,1.84
b_1,0.75,0.81,0.78,0.82,2.69,1.35,1.41,1.65,1.64,1.52,1.12,1.73,1.97,1.02,1.55,1.65
a_1,0.9,1.07,0.79,0.83,0.71,3.04,1.64,1.92,1.57,0.98,1.63,1.4,2.07,0.86,1.57,2.14
h_1,0.85,1.29,1.04,0.79,0.72,0.58,3.29,1.7,2.07,2.01,1.82,1.85,1.8,1.76,1.39,2.75
d_0,0.96,1.04,0.6,1.56,0.83,0.68,1.44,2.9,1.32,1.36,1.59,1.64,2.39,1.4,1.39,1.95
c_0,1.01,1.16,1.01,0.57,0.72,0.73,1.92,1.71,3.1,1.56,3.35,1.81,2.37,1.94,1.58,2.34
g_1,0.76,0.82,1.59,0.81,0.63,0.76,1.7,1.57,1.91,3.71,1.65,2.71,2.23,1.28,2.04,1.68
b_0,1.05,0.97,1.03,0.92,0.54,0.59,1.83,1.91,2.11,1.59,3.13,1.91,2.55,3.12,1.61,2.29
f_0,0.72,0.75,1.12,1.03,0.75,0.76,1.75,1.98,2.15,1.73,2.13,3.44,2.75,1.84,3.45,2.39
h_0,0.96,1.23,0.92,0.92,0.86,0.64,1.49,1.87,1.88,2.24,1.9,1.9,1.77,1.5,1.57,2.85
a_0,1.09,1.06,1.02,0.82,0.72,0.36,1.98,1.63,1.88,1.69,1.86,2.09,2.66,3.52,1.43,2.39
e_0,0.66,1.05,1.01,0.82,0.93,0.73,2.05,1.89,2.12,1.68,2.37,2.13,2.33,1.82,3.73,2.25
g_0,0.85,0.78,1.4,0.84,0.82,0.6,1.64,1.45,1.98,1.18,1.98,2.83,2.39,2.07,1.82,1.7
