,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,2.45,1.44,1.28,1.68,1.42,1.33,2.88,3.2,5.12,3.33,3.37,3.87,3.33,4.44,4.11,3.48
f_1,2.01,2.46,1.51,1.48,1.36,1.5,2.81,2.68,3.19,2.77,3.2,2.26,3.15,3.45,4.39,2.37
d_1,1.52,1.61,2.54,1.34,1.46,1.59,2.92,2.71,2.44,4.82,3.6,3.22,3.19,4.04,3.63,3.24
c_1,1.4,1.56,1.52,2.58,2.32,1.25,2.69,2.63,2.77,2.23,2.43,3.01,3.3,3.97,3.92,3.42
b_1,1.42,1.53,1.52,1.28,2.82,2.54,2.54,2.65,2.69,3.14,2.43,3.14,3.09,3.94,3.68,3.39
a_1,1.41,1.58,1.47,1.82,1.17,3.42,3.4,3.12,3.3,3.15,3.57,3.25,2.57,4.58,4.08,3.99
h_1,1.58,1.86,1.49,1.71,1.64,1.16,4.15,3.67,3.15,3.32,3.32,3.13,3.35,3.67,4.88,3.69
g_1,1.4,1.32,2.12,1.58,1.47,1.54,2.88,4.41,2.63,3.43,3.14,4.7,3.2,3.85,3.52,4.15
d_0,1.22,1.57,1.53,2.44,1.53,1.48,3.04,3.21,4.23,2.37,3.2,3.78,3.22,4.19,4.34,3.96
c_0,1.45,1.81,1.57,1.53,1.25,1.57,2.91,3.35,3.65,4.35,5.6,3.97,4.16,4.73,4.0,3.66
b_0,1.46,1.67,1.63,1.83,1.28,1.56,2.93,3.2,3.22,2.78,4.56,3.76,5.76,4.56,4.7,3.87
f_0,1.2,1.49,1.79,1.72,1.54,1.64,3.54,3.08,3.41,3.35,3.45,4.68,3.85,4.77,3.65,6.6
a_0,1.44,1.61,1.97,1.61,1.57,1.14,3.18,3.11,3.19,2.91,3.21,3.5,4.93,3.99,4.84,3.76
h_0,1.41,2.02,1.68,1.57,1.48,1.43,2.56,3.36,3.05,2.94,3.19,2.9,3.7,3.47,4.97,3.38
g_0,1.44,1.47,2.14,1.46,1.61,1.38,2.8,3.03,3.23,3.52,3.34,4.81,3.66,4.15,3.8,3.72
e_0,1.15,1.9,1.64,1.77,1.69,1.7,3.17,2.89,3.24,3.32,3.07,2.97,3.4,3.87,4.47,5.45
