,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.2,0.97,0.92,0.91,0.92,0.9,1.03,1.06,0.92,0.94,0.97,0.88,0.85,0.99,1.05
e_1,0.84,1.0,1.19,0.94,1.03,0.99,0.98,1.07,1.33,0.96,1.12,0.98,1.03,1.02,1.12,1.06
c_1,1.02,0.84,1.0,1.11,1.32,0.84,1.03,1.01,0.73,0.87,0.95,0.85,1.03,1.03,0.97,1.02
d_1,1.04,1.04,0.9,1.0,1.0,0.96,1.0,0.81,1.04,1.27,0.96,1.02,1.0,0.97,0.94,0.93
b_1,1.06,1.0,0.78,1.01,1.0,1.55,1.13,1.03,0.89,1.07,0.98,1.07,1.0,1.01,0.93,1.0
a_1,1.07,1.02,1.17,1.06,0.67,1.0,1.08,1.11,1.07,0.98,1.08,1.22,1.15,1.08,1.05,1.06
h_1,1.12,0.97,0.94,0.98,0.9,0.89,1.0,1.11,0.95,0.97,0.99,1.02,1.0,0.96,0.93,1.1
g_1,1.01,0.97,1.0,1.21,0.94,0.85,0.89,1.0,0.87,1.0,1.19,0.95,0.85,1.01,0.93,0.97
d_0,0.97,0.78,1.4,0.95,1.09,0.93,1.0,1.13,1.0,0.83,1.02,0.94,1.05,0.97,0.98,0.96
c_0,1.08,1.02,1.19,0.82,0.95,1.03,1.0,1.0,1.14,1.0,0.99,1.32,1.12,1.11,1.15,1.05
f_0,1.05,0.89,1.08,1.07,1.01,0.9,1.04,0.83,0.94,0.99,1.0,1.03,1.08,1.25,0.95,0.85
b_0,1.04,1.03,1.15,0.97,0.92,0.83,0.99,1.1,1.03,0.76,0.92,1.0,1.07,0.95,1.33,0.95
h_0,1.15,0.96,0.98,0.99,0.95,0.89,1.0,1.17,0.98,0.89,0.94,0.94,1.0,0.98,0.95,1.05
e_0,1.21,1.07,0.93,1.01,0.99,0.95,1.04,0.95,0.99,0.92,0.82,1.12,1.08,1.0,0.97,0.83
a_0,1.02,0.92,1.04,1.12,1.01,0.94,1.04,1.12,0.96,0.94,0.99,0.76,1.02,1.03,1.0,0.93
g_0,0.95,0.93,1.0,1.06,1.0,0.97,0.91,1.01,1.02,0.98,1.15,1.07,0.94,1.09,1.03,1.0
