,f_1,d_1,e_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,g_0,a_0,e_0
f_1,0.41,2.98,4.82,3.66,3.07,4.38,1.42,2.12,1.57,2.63,,1.48,0.83,1.39,1.91,
d_1,4.17,0.41,4.7,3.27,3.42,,2.22,1.6,,1.95,1.72,1.35,1.41,0.83,1.72,1.19
e_1,2.0,3.34,0.41,3.66,4.05,3.76,2.08,1.7,1.66,2.0,1.84,2.03,1.51,1.42,1.36,
c_1,3.24,4.44,3.66,0.4,3.86,,1.64,1.82,1.1,,1.64,1.56,1.61,1.23,1.43,2.07
b_1,4.27,3.74,3.43,2.25,0.38,4.1,2.08,2.14,1.65,1.58,1.36,,1.23,1.61,,2.11
a_1,2.92,,3.58,,2.46,0.3,2.12,1.89,1.4,1.41,1.53,1.63,1.35,,,
h_1,1.92,1.83,1.66,2.0,1.8,1.71,0.27,1.34,0.71,0.66,0.78,0.82,,0.74,0.7,0.79
g_1,1.89,1.8,2.22,2.15,2.03,2.02,0.71,0.24,0.77,0.79,1.07,1.02,0.48,,0.71,0.83
d_0,1.7,,1.17,1.6,1.6,1.77,0.88,0.82,0.28,0.69,0.78,0.57,0.69,0.55,0.86,0.72
c_0,1.49,1.01,1.37,,1.63,1.41,1.03,0.72,0.79,0.28,0.67,1.07,0.7,0.51,0.93,0.71
f_0,,1.52,1.5,1.64,1.71,1.62,0.93,0.56,1.07,0.63,0.27,0.81,0.51,0.47,0.65,1.08
b_0,1.53,1.5,1.44,1.75,,1.63,0.89,0.76,0.82,0.45,0.62,0.26,0.8,0.56,0.98,0.67
h_0,1.59,1.06,1.05,1.16,1.31,1.29,,0.77,0.6,0.49,0.69,0.48,,0.76,0.49,0.5
g_0,1.44,1.66,1.28,1.42,1.24,,0.49,,0.66,0.65,0.58,0.63,0.35,,0.56,0.5
a_0,1.36,1.63,2.38,1.65,,,0.89,1.01,0.68,0.58,0.73,0.45,0.74,0.69,0.21,
e_0,,2.21,,1.26,1.33,,0.69,0.78,0.76,0.71,0.38,0.6,0.69,0.64,,0.21
