,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.0,1.41,0.99,0.84,0.78,0.73,0.55,0.76,0.63,0.55,0.6,0.43,0.51,0.59,0.55,0.49
e_1,0.71,1.0,1.09,0.97,1.08,0.77,0.74,0.64,0.99,0.72,0.61,0.73,0.63,0.57,0.63,0.68
c_1,1.01,0.92,1.0,1.01,1.37,0.78,0.85,0.65,0.47,0.56,0.59,0.62,0.57,0.49,0.57,0.52
d_1,1.19,1.03,0.99,1.0,0.95,0.93,0.68,0.5,0.65,0.83,0.59,0.61,0.58,0.61,0.49,0.5
b_1,1.28,0.92,0.73,1.05,1.0,1.46,0.82,0.84,0.78,0.79,0.76,0.63,0.73,0.57,0.67,0.52
a_1,1.38,1.29,1.29,1.07,0.69,1.0,0.88,0.82,0.9,0.85,0.61,0.81,0.95,0.83,0.61,0.59
h_1,1.84,1.32,1.16,1.47,1.18,1.13,1.0,1.08,0.9,0.96,0.91,0.85,1.09,0.74,0.86,0.95
g_1,1.34,1.53,1.5,2.03,1.2,1.16,0.92,1.0,0.92,0.84,0.9,1.07,0.74,0.88,0.76,0.94
d_0,1.48,1.0,2.24,1.58,1.3,1.03,1.19,1.15,1.0,0.88,1.03,1.03,1.1,1.01,0.93,0.91
c_0,1.91,1.31,1.93,1.26,1.28,1.22,1.04,1.25,1.17,1.0,1.61,0.97,1.0,1.14,1.21,1.01
b_0,1.63,1.49,1.87,1.65,1.25,1.69,1.12,1.08,0.98,0.56,1.0,0.96,0.96,1.17,0.74,0.86
f_0,2.25,1.26,1.72,1.64,1.44,1.28,1.13,0.91,1.1,1.03,1.05,1.0,1.22,0.99,0.8,1.24
h_0,1.98,1.48,1.79,1.75,1.35,1.06,0.92,1.39,0.92,1.01,1.04,0.82,1.0,1.02,0.98,0.8
a_0,1.82,1.7,2.03,1.52,1.83,,1.32,1.15,0.96,0.86,0.85,1.04,0.99,1.0,0.93,1.15
g_0,1.81,1.51,1.83,2.01,1.5,1.56,1.16,1.4,0.98,0.78,1.28,1.31,1.06,1.01,1.0,0.91
e_0,2.47,1.27,2.03,1.97,1.86,1.66,1.05,1.1,1.14,1.06,1.13,0.83,1.2,0.84,1.08,1.0
