,f_1,e_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,3.8,0.68,0.4,0.42,0.36,0.31,0.68,0.58,0.71,0.8,0.85,0.2,1.03,0.83,0.58,0.82
e_1,0.44,3.92,0.42,0.3,0.41,0.32,0.78,0.7,1.54,0.88,0.87,0.81,0.75,0.8,0.17,0.98
c_1,0.38,0.3,4.19,0.47,0.63,0.4,0.75,0.77,0.81,0.12,0.79,0.89,0.94,0.68,0.94,0.89
d_1,0.47,0.34,0.36,4.2,0.44,0.39,0.77,0.78,0.18,1.43,1.02,0.79,1.02,0.76,0.82,0.61
b_1,0.39,0.34,0.4,0.38,4.83,0.69,0.78,0.78,0.85,0.87,0.11,0.88,0.77,0.86,0.92,0.95
a_1,0.38,0.53,0.3,0.51,0.32,7.07,0.81,0.73,0.72,0.8,0.82,0.81,0.77,,0.86,0.67
h_1,0.82,0.67,0.68,0.79,0.68,0.56,5.04,1.49,1.22,1.31,1.3,1.25,0.5,1.44,1.4,2.19
g_1,0.59,0.38,0.71,1.1,0.66,0.66,1.21,6.41,1.24,1.34,1.58,2.8,1.29,1.74,2.09,0.75
d_0,0.7,0.77,1.36,0.22,0.55,0.7,1.15,1.27,3.63,1.19,1.35,1.78,1.47,1.16,1.58,1.61
c_0,0.74,0.75,0.31,0.82,0.53,0.88,1.47,1.27,1.49,3.84,2.81,1.35,1.67,1.81,1.65,1.48
b_0,0.82,0.74,0.71,0.72,0.26,0.64,1.29,1.5,1.36,1.66,4.46,1.52,1.99,3.14,1.81,1.79
f_0,0.28,0.56,0.95,0.72,0.76,0.8,1.44,1.5,1.73,1.68,1.1,5.02,1.7,1.12,3.45,1.91
h_0,1.1,0.71,0.82,0.64,0.6,0.53,0.33,1.81,1.29,0.98,1.27,1.35,0.55,1.42,1.21,1.92
a_0,0.76,0.84,0.79,0.71,0.82,0.26,1.42,0.9,1.04,1.26,1.58,1.12,1.45,6.07,0.85,1.43
e_0,0.78,0.26,0.7,0.67,0.91,0.84,1.47,1.46,1.74,1.39,1.37,1.94,2.29,1.53,6.55,1.58
g_0,0.7,0.68,0.79,1.03,0.59,0.66,1.12,0.58,1.22,1.08,0.92,1.68,1.5,1.45,1.43,0.7
