,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,a_0,h_0,g_0,e_0
f_1,0.66,1.42,1.39,1.38,1.49,1.2,0.48,0.68,0.49,0.45,0.45,0.58,0.4,0.29,0.47,0.4
e_1,1.0,0.66,1.49,1.38,1.46,1.28,0.75,0.67,0.7,0.56,0.56,0.64,0.52,0.45,0.43,0.71
d_1,1.43,1.6,0.65,1.47,1.28,1.28,0.62,0.41,0.77,0.6,0.57,0.48,0.47,0.44,0.3,0.53
c_1,1.37,1.36,1.62,0.64,1.63,1.36,0.63,0.58,0.33,0.69,0.45,0.46,0.47,0.41,0.41,0.4
b_1,1.54,1.65,1.7,0.98,0.62,1.68,0.81,0.83,0.64,0.63,0.71,0.62,0.6,0.52,0.48,0.61
a_1,2.12,1.9,1.51,2.0,0.99,0.58,0.93,0.87,0.65,0.7,0.66,0.54,1.52,0.67,0.47,0.61
h_1,2.52,1.76,2.24,2.3,2.1,1.7,0.57,1.12,0.81,0.82,0.77,0.72,0.72,0.93,0.64,0.72
g_1,2.48,2.34,2.57,2.69,2.2,2.02,0.81,0.55,0.74,0.8,0.83,0.85,0.71,0.54,0.92,0.73
d_0,2.56,1.47,4.06,2.89,2.31,2.3,0.97,1.53,0.63,0.85,0.82,0.78,0.87,0.78,0.66,0.72
c_0,3.01,2.29,1.42,4.21,2.64,2.15,0.96,1.19,1.14,0.61,1.12,0.89,0.95,0.79,0.74,0.73
b_0,2.72,2.17,2.04,3.24,4.74,2.43,1.2,1.13,1.01,0.52,0.62,0.79,1.15,0.81,0.82,0.77
f_0,4.06,2.24,2.44,2.7,2.26,2.53,1.34,0.93,1.0,0.9,1.11,0.59,1.04,0.81,0.55,1.47
a_0,3.05,2.42,2.83,2.77,3.43,3.16,1.35,1.39,0.95,0.83,0.59,0.95,0.58,0.81,0.72,0.71
h_0,3.37,2.82,2.5,2.67,2.6,2.02,1.59,1.32,1.06,0.98,0.87,0.98,0.97,1.02,0.82,0.92
g_0,3.21,2.82,3.19,3.21,3.11,2.78,1.06,1.5,1.16,1.04,1.03,1.21,1.1,0.77,1.08,0.99
e_0,4.44,3.61,2.64,3.57,2.61,2.73,1.18,1.35,1.04,1.08,1.03,0.5,1.43,0.94,0.8,0.55
