,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.07,3.65,2.8,3.26,2.7,2.53,0.87,0.9,1.04,0.9,1.96,0.92,0.55,0.91,0.66,0.86
e_1,2.06,1.07,3.83,3.04,3.22,2.9,1.36,1.18,1.44,0.91,1.01,0.88,0.88,1.44,1.1,0.65
c_1,4.28,3.07,1.07,3.91,4.12,2.5,1.24,0.73,1.41,1.63,0.98,0.84,0.85,0.88,0.84,0.81
d_1,3.6,4.4,3.52,1.07,3.04,2.92,1.58,2.42,0.88,1.12,1.01,1.23,0.87,0.92,0.93,0.54
b_1,4.56,4.71,2.42,4.65,1.07,4.84,1.49,1.32,1.6,1.22,1.16,2.5,0.92,1.06,1.16,0.74
a_1,5.72,5.17,5.18,5.57,2.83,1.07,2.08,1.9,1.7,1.75,1.5,1.71,1.19,1.17,2.47,1.2
h_1,8.3,8.23,7.67,6.82,7.87,7.36,1.38,2.06,3.03,2.5,1.95,1.87,2.76,1.67,1.62,1.56
d_0,9.57,5.54,10.95,15.56,7.65,6.3,3.62,1.64,3.33,2.81,2.84,2.62,2.23,1.72,1.85,3.19
g_1,9.68,7.86,10.08,9.38,8.71,8.86,2.36,2.79,1.39,2.06,3.06,2.17,1.59,2.42,2.46,3.49
c_0,10.82,9.05,23.11,5.12,11.29,8.08,2.98,2.63,4.39,1.63,2.55,3.03,2.32,2.13,2.69,2.06
f_0,17.7,7.95,9.98,7.91,9.53,9.25,4.71,2.35,2.33,2.79,1.6,2.72,2.08,2.78,2.66,1.69
b_0,11.04,9.77,12.57,8.81,14.88,8.87,3.83,2.96,3.4,1.73,2.71,1.62,1.92,2.13,2.66,1.89
h_0,16.43,9.42,11.3,11.63,10.26,9.4,6.91,3.3,4.63,3.36,3.17,3.42,3.68,2.72,2.69,2.74
e_0,15.25,18.28,17.7,10.75,15.21,10.86,6.27,5.5,4.21,3.27,2.19,4.1,3.22,1.64,3.0,2.94
a_0,19.62,12.63,13.94,14.54,12.66,21.54,5.53,4.94,4.74,3.41,4.46,2.38,3.72,3.11,1.66,3.6
g_0,15.33,16.69,11.87,15.33,12.84,13.37,4.54,3.31,6.67,5.04,3.65,4.08,3.04,3.05,3.32,4.95
