,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,88.29,87.95,92.55,116.99,140.92,411.86,11828.56,22032.85,25366.78,27499.58,35008.28,48917.54,105155.81,111934.66,123469.83,285655.87
e_1,50.57,96.19,81.86,138.19,155.43,454.92,12815.32,18688.93,23979.72,44126.07,38331.31,65394.19,124970.13,140390.61,175401.05,294075.5
d_1,50.4,51.65,139.17,77.74,121.24,405.89,11424.01,18673.43,35637.18,19362.37,36404.31,58930.36,105055.86,117182.47,149896.55,217610.85
c_1,40.9,40.39,81.2,159.13,184.74,443.2,9283.81,19273.56,17216.27,17512.7,24574.45,53173.11,97847.4,95692.92,157449.84,195556.06
b_1,40.36,37.2,66.54,78.34,205.41,588.77,9722.86,16435.03,20763.99,19041.12,25797.68,47476.27,90417.28,74987.59,142241.21,189453.3
a_1,29.66,28.18,51.47,54.02,63.58,538.53,7406.3,12856.54,13945.5,14122.28,20620.66,32027.14,59190.5,59766.78,110533.03,146230.45
h_1,14.92,12.51,19.18,24.6,27.0,88.63,3980.09,6514.8,5924.29,5476.47,8791.2,13078.9,26079.07,28943.54,43592.7,71651.03
g_1,8.76,9.91,23.53,17.76,25.04,84.69,1832.91,6321.88,5751.17,3619.91,7725.23,16647.31,20586.15,25244.7,36054.74,48199.41
c_0,11.33,11.16,16.06,17.96,20.81,72.7,2365.91,3704.67,6156.28,5302.78,11066.04,13178.84,23930.92,26400.83,38812.5,51841.75
d_0,9.9,8.82,13.43,32.25,27.35,71.83,2352.55,4159.73,3689.18,6047.75,7603.08,9906.97,24482.52,21686.9,30749.17,46160.22
b_0,9.68,9.45,15.81,19.76,16.14,64.65,2145.27,3462.47,3584.87,4016.18,8219.59,9728.26,19633.72,31295.69,30511.34,42776.24
f_0,6.2,6.97,12.74,14.64,20.09,68.52,1736.79,2807.51,3474.98,4395.31,6004.05,12577.88,18182.81,20111.48,48589.33,37575.16
h_0,8.03,7.11,11.28,12.04,17.43,51.5,1021.72,2975.03,2766.98,2647.66,4304.78,6529.73,11698.43,14056.85,21832.08,35242.05
a_0,6.61,5.94,10.14,13.22,18.69,39.92,1444.23,2080.73,2831.71,2923.52,3701.52,6477.96,14566.8,19990.34,16103.6,28696.98
e_0,6.07,4.39,10.18,10.39,13.55,34.78,1163.64,2379.77,2382.32,2763.91,3888.48,5453.03,11690.77,17860.35,28972.7,23641.2
g_0,4.26,4.71,11.58,10.22,13.34,37.13,956.66,1654.26,2380.29,2219.78,3454.1,7436.18,10061.42,11433.7,20079.34,20917.23
