,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.07,8.69,6.52,8.96,9.48,5.37,3.62,2.9,3.55,3.25,2.31,2.39,1.93,2.28,,2.29
d_1,14.31,1.07,10.12,8.9,8.28,7.96,3.3,,2.17,2.71,2.59,2.94,1.69,2.59,2.83,1.58
f_1,11.68,8.66,1.07,10.46,8.69,8.16,2.49,2.92,3.59,2.31,3.13,,1.89,3.07,2.24,2.08
c_1,9.8,11.76,9.88,1.07,12.43,7.24,3.77,2.01,3.25,,2.55,2.82,2.25,2.04,3.49,2.55
b_1,10.71,11.05,11.42,6.39,1.07,13.64,4.33,3.53,4.48,3.42,,3.11,2.75,3.38,3.31,2.15
a_1,24.57,18.14,15.28,14.26,8.55,1.07,5.02,3.61,4.96,4.8,,3.75,2.72,,,3.05
h_1,11.74,13.91,16.96,12.32,12.82,13.62,1.41,3.5,6.13,4.24,3.43,3.99,,3.53,3.0,2.53
d_0,9.47,,12.72,15.17,13.72,17.3,5.62,1.72,4.88,4.29,4.56,3.78,2.94,3.22,2.38,3.17
g_1,16.52,18.82,18.86,16.25,12.68,12.7,4.49,5.5,1.41,4.04,5.17,5.08,2.74,4.42,4.47,
c_0,13.51,10.53,16.34,,13.27,12.4,5.72,4.87,5.83,1.74,4.25,3.56,5.15,2.92,3.19,2.47
b_0,17.49,18.6,13.96,20.83,,,5.66,4.5,6.23,3.73,1.75,4.5,4.07,6.65,3.38,3.23
f_0,16.33,13.5,,18.95,15.4,18.93,6.24,6.33,4.16,4.67,4.68,1.75,4.12,4.5,5.73,3.3
h_0,17.85,20.44,17.13,18.85,15.28,13.27,,4.54,7.98,3.78,4.3,5.41,,3.27,4.49,3.55
a_0,21.73,21.33,17.78,25.83,26.56,,8.42,7.1,7.62,8.78,3.5,5.62,4.73,1.79,,
e_0,,19.55,23.52,20.79,20.85,,8.88,9.83,7.3,8.93,9.13,4.0,4.86,,1.71,4.52
g_0,21.1,17.79,18.82,14.03,21.45,19.22,9.1,6.19,,6.27,5.84,6.46,2.85,,4.6,
