,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,109.03,68.53,71.54,124.33,197.23,683.42,10144.87,18223.58,21660.6,35167.89,30409.28,51239.93,120764.7,136844.27,142444.79,217044.53
f_1,102.83,114.11,70.92,106.09,154.59,594.53,8803.06,17638.4,20158.45,23199.2,28789.67,35120.89,103383.23,138543.94,109585.03,186954.99
d_1,72.38,85.74,115.22,92.04,157.31,603.09,9641.53,17125.17,31352.81,20210.42,32922.55,44924.93,121277.27,146060.98,172389.14,195083.32
c_1,60.52,69.56,64.95,148.24,261.12,609.97,7980.52,15676.33,14588.38,18162.77,20729.96,35178.76,103355.02,124162.55,117932.13,162318.09
b_1,51.61,61.23,61.75,65.45,229.21,928.91,7127.34,13248.74,16464.56,15297.23,18048.4,28670.35,95408.44,91028.39,107632.87,157904.08
a_1,32.74,41.01,43.16,53.61,67.78,679.59,4643.43,8176.41,11154.72,12546.62,15797.86,20816.53,70556.3,59184.94,82823.74,111773.66
h_1,18.18,22.73,20.43,27.86,45.86,156.18,3129.58,5482.61,5311.38,5396.52,7138.49,10447.04,25778.57,39925.01,40129.37,62532.09
g_1,13.38,14.79,21.37,19.32,35.7,138.25,1886.59,5281.72,4744.04,3852.75,5687.81,12056.91,25847.75,32662.9,34017.75,39841.5
c_0,15.67,17.06,15.0,21.52,32.14,127.34,1989.5,3703.9,5236.81,4932.2,8423.15,8669.1,25140.02,34639.56,33901.45,46438.93
d_0,11.94,14.72,13.81,31.26,42.04,121.61,1821.73,3662.26,3340.66,5525.9,5172.37,8689.48,23066.8,30084.59,31246.62,40593.17
b_0,14.11,15.04,13.76,22.49,30.14,101.74,1836.92,3250.15,3444.96,4773.22,6639.88,8071.52,23884.06,42599.04,29704.64,40243.04
f_0,9.43,12.9,12.97,19.61,30.61,102.79,1667.6,2708.71,3530.96,3831.33,4937.64,8994.43,20858.64,26317.25,43759.6,29491.84
h_0,9.43,12.08,10.18,11.94,19.52,67.91,1041.34,2348.93,2647.45,2694.04,3222.62,5569.98,13657.25,18170.01,19762.27,31201.21
a_0,8.42,8.71,9.24,11.64,21.48,74.46,1069.07,1891.0,2410.22,2379.46,2692.26,4470.98,13651.76,20500.29,15865.51,23252.24
e_0,6.72,9.61,8.48,14.37,21.73,61.41,989.24,1627.92,2220.26,2464.91,3245.17,3941.41,12860.42,18089.71,22930.75,22045.48
g_0,7.17,7.87,10.18,10.71,17.87,58.03,959.86,1712.91,2384.29,2218.88,2964.63,5757.66,11313.57,15329.77,18193.91,20286.88
