,e_1,f_1,c_1,d_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,3.71,0.36,0.4,0.34,0.46,0.35,0.78,0.78,1.74,0.72,0.92,0.65,0.76,1.07,0.32,0.89
f_1,0.64,3.85,0.42,0.41,0.39,0.37,0.68,0.62,0.67,0.69,0.22,0.88,0.69,0.9,0.62,0.84
c_1,0.44,0.39,4.2,0.36,0.63,0.37,0.77,0.68,0.69,0.18,0.88,0.72,0.91,0.97,0.7,0.83
d_1,0.42,0.38,0.31,4.42,0.36,0.39,0.78,0.93,0.17,1.43,0.97,1.08,1.08,0.83,0.84,0.89
b_1,0.33,0.38,0.4,0.42,4.56,0.69,0.77,0.63,0.91,0.83,0.86,0.25,0.54,0.79,0.79,1.05
a_1,0.32,0.49,0.45,0.35,0.4,7.49,0.89,0.62,0.76,0.92,0.7,0.73,0.12,0.88,1.24,0.56
h_1,0.69,1.01,0.7,0.64,0.62,0.6,4.86,1.63,1.28,1.41,1.07,1.5,1.32,0.4,1.5,1.68
g_1,0.55,0.56,0.72,1.29,0.52,0.6,1.1,5.97,1.06,1.58,2.17,1.59,1.23,1.35,1.56,0.59
d_0,0.63,0.9,1.34,0.2,0.68,0.64,1.1,1.08,3.65,1.11,1.12,1.03,1.18,1.56,1.09,1.85
c_0,0.67,0.88,0.34,0.83,0.62,0.59,1.21,1.57,1.11,4.49,1.57,3.08,1.77,1.73,1.62,1.63
f_0,0.79,0.18,0.8,0.61,0.64,0.78,1.48,1.36,1.57,1.62,4.92,1.96,2.33,1.7,3.37,1.84
b_0,0.75,0.76,0.87,0.94,0.17,0.47,1.42,1.65,1.06,1.5,1.55,5.09,2.59,1.36,1.6,1.51
a_0,0.73,0.8,0.61,0.81,0.68,0.29,1.3,1.49,1.12,1.73,1.85,1.45,6.05,1.77,1.93,1.6
h_0,0.65,1.15,0.57,0.87,0.58,0.5,0.4,1.48,1.25,1.55,1.21,1.23,1.85,0.57,1.26,1.85
e_0,0.17,0.94,0.7,0.89,0.77,0.79,1.56,1.33,1.13,1.91,1.53,1.53,1.06,1.74,6.95,1.41
g_0,0.67,0.81,0.82,1.11,0.46,0.63,1.38,0.4,1.07,1.04,2.07,1.33,1.43,1.34,1.81,0.64
