,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,16.94,0.68,0.43,0.74,0.46,0.47,0.96,0.97,0.79,2.15,1.02,0.88,1.06,1.09,0.46,0.87
f_1,1.2,16.36,0.48,0.56,0.41,0.58,0.77,0.72,0.92,0.95,0.83,0.44,1.07,0.88,0.7,0.76
d_1,0.47,0.63,18.94,0.39,0.61,0.56,1.01,0.94,2.21,0.33,1.16,0.95,0.88,0.92,0.98,1.05
c_1,0.49,0.4,0.58,17.57,1.4,0.55,0.79,0.7,0.25,0.84,0.56,1.06,0.65,0.84,0.98,0.9
b_1,0.49,0.67,0.58,0.46,17.59,1.26,0.81,0.8,0.85,0.77,0.52,0.86,0.76,0.98,1.16,0.9
a_1,0.57,0.48,0.7,0.69,0.48,27.35,0.97,0.98,0.74,0.88,1.05,1.02,0.45,1.03,0.86,1.02
h_1,0.55,1.06,0.82,0.88,0.69,0.67,4.65,1.5,0.98,0.95,1.26,1.03,1.17,0.73,1.03,1.86
g_1,0.52,0.58,1.41,0.95,0.64,0.56,1.28,6.46,1.12,0.91,1.15,2.28,1.19,1.05,1.31,0.82
c_0,0.74,0.89,0.88,0.42,0.59,0.61,1.12,1.34,3.23,0.92,3.53,1.31,1.95,1.54,1.27,1.54
d_0,0.76,0.83,0.33,2.03,0.69,0.68,1.2,1.01,0.69,2.99,1.02,1.19,0.92,1.0,1.04,0.94
b_0,0.63,0.98,0.93,0.86,0.3,0.57,1.05,1.08,1.6,1.11,3.88,1.46,3.75,1.84,1.29,1.3
f_0,0.59,0.47,0.89,0.82,0.86,0.75,1.35,1.25,1.29,0.99,1.36,3.92,0.98,1.39,3.57,1.42
a_0,0.82,0.73,0.81,0.96,0.59,0.39,1.16,1.27,1.13,1.46,1.29,1.29,4.73,1.45,1.13,1.54
h_0,0.81,1.25,0.86,0.66,0.67,0.55,0.64,1.66,1.16,1.26,1.17,0.87,1.18,0.65,1.23,1.74
e_0,0.42,0.78,1.02,0.75,0.86,0.78,1.13,1.12,1.7,1.13,1.47,1.42,1.28,1.35,4.51,1.45
g_0,0.59,0.65,1.6,0.72,0.7,0.62,0.94,0.78,1.23,0.92,1.14,2.47,0.84,1.33,1.95,0.9
