,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,93.84,60.19,43.78,56.83,73.11,176.1,5083.82,11321.85,11169.5,12675.03,17554.26,16589.38,50260.49,63269.25,103338.17,89582.96
e_1,23.4,103.91,41.01,60.37,95.34,233.0,4382.33,9674.15,20212.6,17590.38,17227.43,29701.02,41380.78,57724.68,113300.37,41140.2
d_1,30.08,24.84,131.63,42.3,68.18,181.29,5556.3,9082.48,5669.65,22674.49,17527.91,28022.8,49625.44,50025.71,83601.67,103097.47
c_1,24.13,28.51,35.63,154.22,105.25,179.97,4943.1,7891.76,8113.31,6155.67,10437.11,27541.12,39332.93,56887.98,86397.44,78834.17
b_1,23.63,23.84,30.99,39.21,216.12,230.62,4657.13,6478.73,7739.7,11854.93,4866.81,17301.06,44634.49,28190.66,97472.37,90209.32
a_1,19.02,15.15,28.4,25.18,41.51,467.41,3214.7,5552.58,5955.52,8229.24,9550.87,16969.15,35037.0,21950.24,48463.83,53486.82
h_1,12.29,10.62,12.47,16.04,19.3,49.19,3211.98,3259.83,3493.5,4831.07,5234.14,6789.2,9351.85,17607.29,49963.44,36034.02
g_1,6.6,6.88,14.25,13.81,18.09,44.79,1267.05,5315.07,2744.7,3448.68,3780.74,9572.68,9961.95,15653.93,17332.82,22935.49
d_0,8.54,5.74,6.06,23.0,19.3,48.23,1225.61,2023.27,4719.15,3415.36,4341.76,6274.91,9807.67,10696.57,25296.45,34726.14
c_0,8.56,6.47,9.68,8.07,14.43,42.58,1306.97,2141.06,2786.28,5894.1,6540.31,5305.63,13376.2,15760.42,31693.12,30001.69
b_0,7.65,6.39,10.35,14.25,10.63,41.1,1235.81,2502.68,2547.34,2941.62,6373.99,5379.34,10847.61,19920.82,26966.34,28215.61
f_0,2.22,5.37,10.06,10.12,15.51,37.59,1127.42,1576.49,2650.76,3965.98,3280.91,9593.51,8839.96,11471.27,23365.68,35850.02
h_0,6.13,5.42,7.18,9.37,12.08,26.45,550.47,1984.7,1930.67,2259.92,2698.77,4241.72,4050.49,9490.74,21012.46,16490.97
a_0,4.89,4.09,7.08,6.93,13.2,15.32,861.55,1221.65,1866.12,1910.17,2243.06,4581.91,7948.46,17253.65,18031.21,21419.02
g_0,3.56,3.54,8.8,6.8,8.31,26.29,435.26,718.77,1488.1,1585.35,2089.09,4071.39,5193.43,6638.53,9896.19,13222.38
e_0,4.88,1.97,5.48,7.04,8.39,19.11,604.24,1253.45,1345.73,1865.34,2120.65,2628.33,6667.07,7883.28,14120.41,27765.28
