,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.78,1.02,1.2,1.11,0.82,1.03,1.22,1.03,1.26,1.0,1.06,0.79,1.02,,0.78
f_1,1.29,1.0,0.99,1.1,0.9,0.82,0.92,0.82,0.89,0.99,1.07,,0.87,1.0,1.04,1.18
d_1,0.98,1.01,1.0,0.84,1.01,1.26,0.99,0.8,1.29,,1.03,0.86,1.31,0.88,1.0,0.77
c_1,0.83,0.91,1.19,1.0,1.52,1.11,0.98,0.84,,0.81,0.81,1.08,0.98,1.26,0.95,1.07
b_1,0.9,1.11,0.99,0.66,1.0,1.24,1.47,1.21,1.04,0.94,,0.98,1.19,,0.88,1.14
a_1,1.21,1.22,0.79,0.9,0.81,1.0,1.11,0.89,1.0,1.14,0.88,0.8,0.96,,,1.41
h_1,0.97,1.09,1.02,1.02,0.68,0.9,1.0,1.27,1.07,0.92,0.97,0.85,,1.2,0.77,1.33
g_1,0.82,1.21,1.26,1.19,0.83,1.12,0.79,1.0,1.08,1.13,0.92,1.22,0.9,0.82,0.84,
c_0,0.97,1.13,0.77,,0.96,1.0,0.94,0.93,1.0,1.14,1.43,1.0,0.97,0.95,1.14,0.83
d_0,0.79,1.01,,1.24,1.06,0.88,1.08,0.88,0.87,1.0,1.04,1.12,1.04,0.95,1.13,1.0
b_0,1.0,0.93,0.97,1.24,,1.13,1.03,1.09,0.7,0.96,1.0,0.91,1.1,1.56,1.05,0.93
f_0,0.95,,1.17,0.93,1.02,1.25,1.18,0.82,1.0,0.89,1.1,1.0,1.24,0.72,1.09,0.84
h_0,1.27,1.14,0.76,1.02,0.84,1.04,,1.11,1.03,0.96,0.91,0.8,,0.81,0.97,1.36
a_0,0.98,1.0,1.13,0.79,,,0.84,1.22,1.05,1.05,0.64,1.38,1.24,1.0,,
e_0,,0.96,1.0,1.05,1.13,,1.3,1.19,0.88,0.89,0.95,0.92,1.03,,1.0,1.09
g_0,1.28,0.85,1.29,0.94,0.88,0.71,0.75,,1.21,1.0,1.07,1.19,0.73,,0.92,
