,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
e_1,0.94,0.27,0.22,0.32,0.24,0.18,0.2,0.19,0.27,0.15,0.18,0.16,0.18,0.07,0.13,0.14
d_1,0.31,0.94,0.31,0.22,0.25,0.19,0.2,0.17,0.08,0.28,0.15,0.19,0.16,0.13,0.13,0.1
f_1,0.53,0.28,0.94,0.27,0.2,0.16,0.17,0.17,0.2,0.17,0.05,0.16,0.11,0.09,0.11,0.14
c_1,0.26,0.33,0.3,0.94,0.44,0.19,0.18,0.2,0.18,0.06,0.16,0.14,0.18,0.11,0.12,0.12
b_1,0.29,0.31,0.34,0.21,0.93,0.34,0.22,0.2,0.21,0.22,0.18,0.1,0.18,0.13,0.08,0.15
a_1,0.34,0.34,0.41,0.36,0.21,0.93,0.24,0.2,0.16,0.21,0.18,0.21,0.19,0.17,0.05,0.16
h_1,0.48,0.55,0.79,0.43,0.43,0.32,0.72,0.43,0.33,0.37,0.3,0.28,0.23,0.29,0.25,0.36
g_1,0.5,0.83,0.47,0.53,0.42,0.38,0.31,0.72,0.34,0.3,0.45,0.32,0.24,0.26,0.21,0.16
d_0,0.6,0.41,0.52,0.87,0.45,0.49,0.4,0.32,0.61,0.3,0.31,0.24,0.31,0.26,0.21,0.3
c_0,0.72,0.64,0.66,0.39,0.39,0.36,0.36,0.37,0.36,0.63,0.39,0.52,0.37,0.27,0.24,0.27
f_0,0.58,0.74,0.4,0.63,0.55,0.36,0.43,0.28,0.45,0.3,0.62,0.34,0.44,0.48,0.25,0.31
b_0,0.55,0.63,0.71,0.62,0.22,0.4,0.44,0.36,0.47,0.35,0.39,0.62,0.34,0.25,0.46,0.29
h_0,0.51,0.7,1.02,0.56,0.52,0.46,0.17,0.54,0.4,0.41,0.35,0.43,0.22,0.28,0.23,0.31
e_0,0.34,0.73,0.83,0.7,0.58,0.45,0.38,0.55,0.52,0.41,0.35,0.5,0.47,0.61,0.3,0.32
a_0,0.66,0.7,0.83,0.66,0.69,,0.4,0.43,0.57,0.39,0.49,0.38,0.48,0.29,0.6,0.29
g_0,0.54,1.13,0.61,0.72,0.48,0.44,0.4,0.28,0.44,0.4,0.52,0.4,0.47,0.36,0.3,0.2
