,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,3.66,0.75,0.33,0.41,0.37,0.36,0.8,0.77,0.66,0.71,0.22,0.78,0.7,0.72,0.58,0.74
e_1,0.42,3.72,0.46,0.31,0.32,0.39,0.62,1.46,0.82,0.87,0.9,0.9,1.14,0.29,0.86,0.66
c_1,0.43,0.32,4.27,0.38,0.77,0.41,0.76,0.7,0.6,0.1,0.79,0.67,0.91,0.52,0.82,1.11
d_1,0.37,0.38,0.34,4.43,0.34,0.34,0.83,0.2,0.8,1.66,1.07,0.69,0.75,0.91,0.79,0.87
b_1,0.44,0.34,0.38,0.44,5.14,0.74,0.63,0.83,0.65,0.57,0.77,0.21,0.99,0.77,0.89,0.94
a_1,0.43,0.38,0.54,0.43,0.33,6.7,0.61,0.93,0.62,0.65,0.69,0.74,0.98,0.93,0.21,0.78
h_1,1.05,0.53,0.71,0.61,0.64,0.56,5.43,1.19,1.92,1.67,0.99,1.32,0.65,1.17,1.39,1.91
d_0,0.8,0.64,1.27,0.23,0.66,0.59,1.54,3.61,1.13,1.43,1.95,1.41,1.49,1.14,1.22,1.85
g_1,0.7,0.57,0.58,1.12,0.62,0.68,1.27,1.18,6.43,1.01,2.15,1.61,1.36,1.82,1.44,0.72
c_0,0.71,0.8,0.24,0.89,0.63,0.59,1.26,1.28,1.51,4.1,1.52,3.07,1.39,2.12,1.78,1.22
f_0,0.27,0.56,0.84,0.99,0.77,0.71,1.39,1.31,1.24,1.68,4.64,1.64,1.56,3.8,1.26,1.96
b_0,0.71,0.78,0.85,0.57,0.24,0.6,1.71,1.4,1.8,1.76,1.6,4.72,1.63,1.55,3.04,1.62
h_0,0.97,0.6,0.64,0.6,0.71,0.71,0.67,1.26,1.74,1.28,1.52,1.84,0.81,1.58,1.33,1.68
e_0,0.58,0.35,0.77,0.66,0.85,0.71,1.66,2.01,1.46,1.84,1.76,2.13,1.75,7.08,2.37,2.08
a_0,0.83,0.51,0.9,0.78,0.73,0.27,1.7,1.71,1.14,1.44,1.12,1.85,1.75,1.98,6.96,1.75
g_0,0.46,0.69,0.71,1.16,0.83,0.59,1.51,0.77,0.43,1.3,1.99,1.69,1.38,1.67,1.23,0.58
