,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,f_0,b_0,a_0,h_0,e_0,g_0
e_1,1.13,2.66,5.79,5.15,5.44,4.18,1.76,1.7,1.41,1.1,1.32,1.23,1.14,0.84,2.94,0.82
f_1,4.89,1.13,5.22,6.05,4.61,5.25,1.03,1.59,0.94,0.93,2.37,1.01,0.82,0.48,0.91,0.93
d_1,5.55,6.37,1.12,5.54,5.87,5.35,1.49,1.06,0.86,2.76,0.87,0.97,0.97,0.73,1.21,0.45
c_1,5.26,5.74,8.25,1.13,5.85,7.41,1.73,1.39,2.14,0.72,1.13,1.13,1.37,1.07,1.24,0.88
b_1,6.53,8.31,6.73,3.54,1.14,7.61,2.3,1.97,1.96,1.58,1.64,4.75,1.87,1.11,1.2,1.27
a_1,9.94,9.9,8.9,10.67,5.18,1.14,2.97,3.42,2.11,3.05,2.09,2.42,6.41,1.48,2.15,1.82
h_1,16.72,18.9,14.23,15.7,16.8,16.1,1.8,6.65,3.61,3.68,3.6,3.21,3.3,4.34,3.38,2.78
g_1,19.37,24.24,19.18,19.86,18.87,18.88,4.38,1.8,4.23,3.75,4.28,3.93,4.23,2.01,4.51,4.87
c_0,20.64,27.9,11.61,73.15,28.7,21.82,6.83,6.54,2.4,6.01,4.52,5.21,5.64,3.58,5.05,3.65
d_0,13.74,24.58,39.45,26.08,27.83,20.46,7.36,8.45,5.26,2.48,4.41,4.97,5.35,4.48,5.12,3.86
f_0,28.62,61.67,23.62,26.54,29.0,23.38,8.35,5.33,4.98,5.34,2.28,4.63,6.22,4.04,4.68,2.3
b_0,26.42,29.05,21.84,37.49,62.61,26.19,6.58,8.55,2.47,5.25,5.48,2.33,5.1,4.25,3.95,3.57
a_0,36.68,32.85,31.0,37.02,51.98,53.08,9.23,10.59,5.48,6.45,7.14,3.59,2.39,5.67,4.8,4.6
h_0,32.29,37.8,43.4,41.08,31.31,26.19,14.47,8.45,6.05,6.19,7.05,6.95,7.29,8.16,6.21,4.87
e_0,77.1,52.46,30.73,41.65,47.5,29.76,9.64,16.0,7.44,7.84,3.44,7.13,7.98,6.38,2.48,4.6
g_0,42.93,49.51,38.58,46.86,44.44,41.79,9.04,16.0,7.11,9.52,8.9,7.53,8.81,4.64,8.42,8.4
