,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.18,7.77,11.37,10.56,16.93,11.6,3.76,2.5,2.72,4.08,2.29,2.96,2.04,3.47,,2.52
f_1,17.43,0.17,11.43,17.55,10.47,10.52,2.02,2.16,2.13,4.33,3.09,,1.46,2.52,2.8,2.74
d_1,16.87,15.85,0.16,10.64,15.72,13.87,3.62,,2.27,1.74,2.55,3.4,1.69,3.87,2.31,1.08
c_1,12.45,13.83,18.86,0.15,12.44,13.56,3.71,1.26,,4.01,3.13,1.97,2.15,2.03,3.75,1.91
b_1,12.09,20.93,10.63,6.58,0.13,18.71,3.23,2.29,3.13,4.89,,3.34,1.88,,1.87,1.28
a_1,17.09,16.95,12.61,14.31,6.6,0.1,4.49,2.84,2.14,4.33,2.18,,1.82,,2.73,
h_1,3.76,2.71,2.97,4.48,3.12,2.24,0.07,0.92,0.69,1.02,0.57,0.81,,0.47,0.96,0.45
d_0,1.54,2.52,,2.62,1.85,2.29,0.89,0.09,0.8,0.67,0.44,0.62,0.28,0.54,0.65,0.44
c_0,2.53,2.17,1.63,,2.89,4.81,0.86,0.57,0.08,0.82,0.53,0.44,0.33,0.52,0.42,0.36
g_1,4.24,5.25,3.24,3.82,2.82,5.11,0.67,0.78,0.65,0.06,0.78,0.69,0.38,0.57,0.52,
b_0,2.82,2.32,2.9,3.01,,2.61,0.64,0.6,0.32,0.81,0.08,0.42,0.4,,0.46,0.31
f_0,2.55,,2.53,2.27,3.34,,0.81,0.43,0.63,0.53,0.51,0.07,0.35,0.44,0.65,0.19
h_0,1.36,1.8,1.86,1.48,2.5,1.82,,0.33,0.3,0.45,0.35,0.41,,0.27,0.24,0.27
a_0,2.46,2.31,2.8,2.6,,,0.81,0.52,0.81,0.73,,0.63,0.33,0.05,,0.36
e_0,,2.96,3.73,3.46,2.31,1.5,0.78,0.8,0.59,0.58,0.61,0.23,0.32,,0.04,0.39
g_0,1.63,1.37,1.97,2.09,2.13,,0.33,0.48,0.35,,0.52,0.3,0.17,0.28,0.43,
