,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.93,0.19,0.09,0.09,0.07,0.05,0.07,0.07,0.07,0.06,0.06,,0.06,0.05,0.04,0.03
e_1,0.08,0.93,0.09,0.1,0.11,0.08,0.05,0.05,0.11,0.07,0.06,0.06,0.05,0.04,0.04,
d_1,0.12,0.09,0.93,0.08,0.08,0.07,0.08,0.06,,0.1,0.07,0.06,0.08,0.04,0.04,0.04
c_1,0.12,0.12,0.11,0.93,0.13,0.09,0.08,0.06,0.06,,0.05,0.06,0.06,0.06,0.05,
b_1,0.14,0.11,0.1,0.1,0.93,0.09,0.1,0.06,0.06,0.07,,0.05,0.08,0.04,0.06,0.05
a_1,0.16,0.11,0.13,0.08,0.12,0.93,0.08,0.06,0.06,0.07,0.08,0.07,0.1,,0.05,
h_1,0.37,0.34,0.27,0.26,0.16,0.17,0.71,0.21,0.2,0.18,0.16,0.1,,0.13,0.21,0.13
g_1,0.29,0.36,0.38,0.31,0.24,0.21,0.2,0.71,0.2,0.13,0.14,0.22,0.17,,,
d_0,0.41,0.32,,0.56,0.37,0.24,0.23,0.17,0.58,0.23,0.25,0.2,0.19,,0.13,0.16
c_0,0.39,0.3,0.32,,0.26,0.23,0.29,0.22,0.21,0.56,0.34,0.19,0.24,0.17,0.18,0.18
b_0,0.38,0.32,0.35,0.32,,0.23,0.29,0.3,0.22,0.19,0.58,0.2,0.19,0.22,0.19,0.15
f_0,,0.35,0.4,0.33,0.33,0.21,0.32,0.2,0.28,0.26,0.19,0.58,0.2,0.17,0.19,
h_0,0.59,0.5,0.43,0.45,0.41,0.26,,0.29,0.33,0.3,0.31,0.27,,0.24,0.28,0.16
a_0,0.4,0.42,0.36,0.33,0.41,,0.28,,,0.2,0.22,0.23,0.23,0.58,0.25,0.19
g_0,0.57,0.52,0.84,0.43,0.33,0.35,0.25,,0.42,0.29,0.32,0.31,0.28,0.19,,0.17
e_0,0.62,,0.41,,0.28,,0.27,,0.23,0.26,0.25,,0.32,0.2,0.24,0.56
