,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,17.02,0.59,0.66,0.39,0.48,0.48,0.73,2.01,0.92,0.77,1.07,1.08,1.08,1.06,0.45,1.06
f_1,1.18,18.33,0.52,0.38,0.45,0.5,0.72,0.94,0.9,0.69,0.9,0.32,0.89,0.93,0.57,0.75
c_1,0.47,0.5,18.69,0.55,1.21,0.36,0.85,0.74,0.24,0.98,0.73,0.85,0.83,0.8,1.11,0.84
d_1,0.4,0.76,0.4,21.66,0.5,0.49,1.04,0.31,2.07,1.01,0.95,1.01,0.83,0.99,0.82,0.89
b_1,0.49,0.43,0.59,0.55,20.6,1.25,1.03,0.99,0.82,0.69,0.3,0.85,0.74,0.78,0.78,1.02
a_1,0.46,0.62,0.5,0.65,0.46,33.32,1.01,0.62,0.88,0.75,0.96,1.16,0.39,1.25,1.35,1.01
h_1,0.57,0.84,0.51,0.96,0.64,0.73,5.39,0.9,1.05,1.7,1.19,1.08,1.17,0.68,1.29,1.97
d_0,0.66,0.59,2.02,0.32,0.6,0.67,0.89,2.89,0.86,0.95,1.3,1.11,1.25,1.43,1.22,1.06
c_0,0.61,0.77,0.38,0.85,0.59,0.85,1.1,1.19,3.18,1.43,2.72,1.5,1.4,1.29,1.56,1.46
g_1,0.54,0.49,0.64,1.58,0.55,0.54,1.21,0.81,1.19,7.03,1.31,1.95,1.07,1.2,1.19,0.58
b_0,0.7,0.64,0.64,0.92,0.34,0.78,1.25,1.12,1.08,1.46,3.94,1.06,3.59,1.2,1.36,1.35
f_0,0.53,0.32,0.8,0.92,0.59,0.62,1.31,1.38,1.27,1.13,1.72,4.81,1.36,1.17,3.79,1.21
a_0,0.77,0.79,0.83,0.6,0.66,0.13,1.13,1.51,1.35,1.49,1.3,1.24,5.03,1.38,1.29,1.42
h_0,0.65,1.0,0.81,0.84,0.61,0.79,0.58,1.03,0.99,1.48,1.53,1.28,1.11,0.79,1.39,1.67
e_0,0.24,0.59,1.09,0.89,0.89,0.72,1.03,1.3,1.03,1.06,1.29,1.34,1.36,1.65,5.93,1.3
g_0,0.53,0.53,0.66,1.63,0.64,0.75,1.01,1.04,1.34,0.63,1.5,1.89,1.09,1.53,1.37,0.64
