,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,a_0,e_0,g_0
e_1,1.0,0.81,0.95,1.19,1.05,0.95,1.04,1.08,1.33,1.0,1.11,1.01,1.02,1.01,1.05,1.11
f_1,1.24,1.0,0.96,0.98,0.94,0.91,0.89,1.03,1.03,0.86,0.94,0.95,0.88,0.9,0.8,0.99
d_1,1.01,1.08,1.0,0.87,1.03,1.0,0.99,0.83,0.96,1.32,0.95,1.07,1.01,0.99,1.05,0.82
c_1,0.85,1.04,1.14,1.0,1.23,1.0,1.1,0.96,0.75,0.95,0.92,0.79,1.0,1.02,0.92,1.0
b_1,0.95,1.06,0.97,0.83,1.0,1.32,1.02,1.06,0.92,1.12,1.03,1.08,1.08,0.89,1.01,1.02
a_1,1.01,1.1,0.99,1.02,0.77,1.0,1.07,1.04,1.16,0.98,1.06,1.21,1.21,1.39,0.97,1.07
h_1,0.98,1.11,1.03,0.91,0.97,0.93,1.0,1.2,0.93,0.93,0.96,0.95,0.95,0.96,1.03,1.06
g_1,0.93,0.96,1.19,1.07,0.93,0.9,0.85,1.0,0.9,0.99,1.16,0.96,0.88,1.03,1.07,0.98
d_0,0.79,0.98,1.06,1.38,1.04,0.89,1.04,1.17,1.0,0.83,0.99,1.01,1.02,1.01,1.1,1.17
c_0,1.05,1.12,0.78,1.06,0.87,1.04,1.07,1.01,1.19,1.0,1.02,1.44,1.01,1.19,1.17,1.07
f_0,0.89,1.05,1.05,1.05,0.93,0.9,0.97,0.9,1.01,0.96,1.0,1.04,0.99,0.97,1.46,0.84
b_0,1.02,1.05,0.94,1.19,0.92,0.81,0.98,1.05,1.02,0.7,1.06,1.0,1.02,1.45,1.06,1.13
h_0,0.99,1.14,0.99,1.01,0.95,0.86,1.05,1.1,0.93,0.94,0.96,0.92,1.0,0.86,0.98,1.11
a_0,1.04,1.06,0.97,0.98,1.07,0.83,1.06,0.96,0.98,0.86,1.08,0.76,1.11,1.0,1.0,1.16
e_0,0.96,1.17,1.02,1.06,0.97,0.99,0.97,0.96,0.87,0.91,0.73,0.95,0.96,0.94,1.0,0.99
g_0,0.93,0.98,1.17,1.02,0.96,0.96,0.95,1.0,0.88,0.95,1.16,0.89,0.9,0.85,1.08,0.99
