,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,2.17,0.04,0.03,0.02,0.02,0.02,0.06,0.04,0.07,0.06,0.06,,0.09,0.05,0.05,0.07
e_1,0.03,2.21,0.02,0.02,0.03,0.02,0.05,0.03,0.11,0.07,0.06,0.07,0.07,0.06,,0.06
d_1,0.03,0.03,2.33,0.03,0.03,0.02,0.06,0.05,,0.08,0.06,0.05,0.1,0.05,0.05,0.09
c_1,0.03,0.03,0.03,2.44,0.04,0.02,0.07,0.04,0.06,,0.05,0.05,0.09,0.04,0.05,0.07
b_1,0.03,0.03,0.03,0.03,2.55,0.04,0.05,0.05,0.06,0.06,,0.07,0.07,0.03,0.04,0.06
a_1,0.03,0.03,0.04,0.03,0.02,3.07,0.06,,0.06,0.09,0.04,,0.08,,,0.07
h_1,0.16,0.08,0.13,0.1,0.1,0.07,2.6,0.27,0.18,0.25,0.24,0.17,,0.21,0.14,0.38
g_1,0.09,0.09,0.18,0.09,0.05,,0.23,2.92,0.17,0.21,0.19,0.35,0.36,0.14,0.24,
d_0,0.14,0.18,,0.27,0.14,0.1,0.31,0.22,1.99,0.27,0.31,0.28,0.4,0.25,0.21,0.3
c_0,0.13,0.16,0.11,,0.12,0.1,0.34,0.22,0.41,2.04,0.5,0.34,0.37,0.2,0.22,0.38
b_0,0.19,0.15,0.13,0.12,,0.1,0.33,0.23,0.33,0.32,2.17,0.29,0.32,0.47,0.2,0.29
f_0,,0.09,0.17,0.14,0.15,,0.32,0.27,0.33,0.32,0.33,2.25,0.38,0.3,0.53,0.18
h_0,0.35,0.23,0.2,0.19,0.15,0.17,,0.54,0.56,0.32,0.42,0.32,,0.37,0.42,0.68
a_0,0.24,0.16,0.1,0.13,0.13,,0.24,0.33,0.28,0.3,0.3,0.26,0.41,2.58,,
e_0,0.16,,0.11,0.14,0.11,,0.34,0.32,0.33,0.41,0.27,0.35,0.38,,2.73,0.39
g_0,0.17,0.22,0.35,0.2,0.22,0.13,0.3,,0.39,0.57,0.39,0.64,0.75,,0.28,
