,f_1,e_1,d_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,0.18,14.21,12.34,12.02,13.68,15.76,3.12,3.51,2.68,2.43,2.14,,1.11,2.52,1.72,3.09
e_1,8.15,0.17,13.46,16.23,13.31,13.36,3.23,2.54,3.0,3.03,2.18,4.33,1.54,2.85,1.98,
d_1,14.29,19.67,0.17,9.74,9.78,11.9,3.16,2.63,2.85,,5.64,2.47,1.59,1.8,1.22,2.2
c_1,13.26,12.81,12.56,0.16,11.64,11.87,3.89,,2.98,1.56,3.27,2.27,1.51,2.54,2.08,2.56
b_1,12.47,14.79,9.54,8.1,0.13,14.6,3.66,3.45,2.82,2.47,,2.6,2.48,2.43,1.71,2.7
a_1,10.13,19.09,15.4,13.12,7.05,0.09,2.65,2.82,,3.69,3.44,2.35,2.25,,1.71,
h_1,3.43,3.59,2.88,2.8,2.91,3.15,0.07,0.57,0.82,0.66,1.17,0.69,,0.88,0.41,0.61
c_0,2.85,2.61,1.71,,2.62,2.31,0.66,0.08,0.7,0.58,0.53,0.44,0.32,0.57,0.44,0.35
g_1,4.85,4.17,3.35,4.06,4.31,,0.62,0.63,0.05,0.78,0.55,0.6,0.33,0.7,,
d_0,2.85,1.36,,2.36,2.56,1.92,0.68,0.51,1.33,0.08,0.45,0.52,0.37,0.49,0.44,0.4
b_0,2.51,2.6,2.82,3.13,,3.75,0.74,0.26,0.62,0.44,0.07,0.48,0.34,,0.38,0.64
f_0,,2.52,3.32,3.16,3.32,2.66,0.8,0.49,0.51,0.48,0.28,0.07,0.51,0.5,0.19,0.39
h_0,1.36,1.37,2.16,1.64,1.75,1.86,,0.28,0.67,0.35,0.35,0.33,,0.25,0.23,0.32
a_0,2.16,2.72,2.8,4.1,2.18,,1.09,0.57,0.87,0.38,,0.39,0.45,0.05,0.39,
g_0,1.62,1.67,1.59,1.43,2.28,2.49,0.31,0.46,,0.32,0.43,0.4,0.19,0.42,,0.3
e_0,3.28,,1.94,2.1,3.44,,0.82,0.47,,0.42,0.54,0.24,0.42,,0.39,0.04
