,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.83,1.19,1.71,1.82,2.97,21.67,38.8,35.26,36.05,46.44,51.62,83.64,103.58,128.8,111.04
f_1,1.2,1.0,1.02,1.32,1.6,2.81,16.24,23.49,30.83,33.83,37.28,46.89,55.85,70.22,80.08,112.73
d_1,0.84,0.98,1.0,1.06,1.01,2.14,17.35,18.73,18.72,33.76,33.36,37.37,57.55,57.82,81.67,66.54
c_1,0.58,0.75,0.94,1.0,1.64,1.93,14.53,12.26,25.98,19.78,29.3,33.17,51.93,55.73,71.11,72.41
b_1,0.56,0.62,0.98,0.61,1.0,3.35,13.48,13.27,20.19,26.22,29.36,28.76,43.32,52.66,57.17,66.42
a_1,0.34,0.35,0.46,0.52,0.3,1.0,7.99,7.65,10.86,10.36,14.51,14.45,28.51,25.23,40.63,38.79
h_1,0.05,0.06,0.06,0.07,0.07,0.13,1.0,1.23,1.7,1.48,1.99,1.99,3.72,3.43,4.63,6.59
d_0,0.03,0.04,0.05,0.08,0.08,0.12,0.8,1.0,1.41,1.06,1.61,1.85,3.53,3.26,3.98,5.17
g_1,0.03,0.03,0.05,0.04,0.05,0.09,0.57,0.71,1.0,1.15,1.22,1.78,2.08,2.82,3.23,3.09
c_0,0.03,0.03,0.03,0.05,0.04,0.09,0.71,0.89,0.9,1.0,1.58,1.44,2.2,2.67,2.93,3.61
b_0,0.02,0.03,0.03,0.04,0.04,0.07,0.52,0.61,0.8,0.6,1.0,1.04,2.19,2.4,2.74,2.91
f_0,0.02,0.02,0.03,0.03,0.04,0.07,0.5,0.58,0.56,0.68,0.86,1.0,1.86,1.74,3.09,1.97
h_0,0.01,0.02,0.02,0.02,0.02,0.04,0.27,0.3,0.49,0.46,0.48,0.53,1.0,0.92,1.2,1.7
a_0,0.01,0.01,0.02,0.02,0.02,0.04,0.31,0.3,0.34,0.37,0.41,0.56,1.08,1.0,1.24,1.22
e_0,0.01,0.01,0.01,0.01,0.02,0.03,0.21,0.24,0.3,0.35,0.35,0.31,0.81,0.8,1.0,1.14
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.19,0.32,0.29,0.36,0.5,0.58,0.79,0.88,1.0
