,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,91.79,10.31,15.01,20.26,33.03,77.48,1801.98,7838.27,4728.64,5381.29,8860.26,11980.1,13601.97,25260.43,,54255.42
f_1,16.2,105.12,16.34,16.78,25.63,77.12,1556.93,4333.26,4473.07,6213.94,7768.18,,20334.43,23736.47,19592.43,40153.47
d_1,8.97,10.05,126.65,15.34,23.23,77.21,1860.42,,3226.88,8456.18,7483.29,9906.72,17026.18,25964.88,30046.74,38974.19
c_1,8.21,10.67,11.93,142.02,35.49,98.42,1330.19,3805.69,3428.06,,6771.91,8393.05,15809.6,26954.09,26433.62,51007.46
b_1,6.93,10.57,14.5,12.37,203.54,109.67,1392.87,3962.41,2893.02,3890.79,,10022.87,12630.38,20983.43,20198.32,
a_1,6.33,6.42,7.43,8.84,11.97,547.11,885.51,1992.1,,2864.88,,6512.39,,11164.55,15906.7,22004.34
h_1,5.13,8.01,6.94,9.04,12.79,42.89,2842.59,1812.64,1714.34,2472.11,3730.23,4639.92,8103.22,,13863.23,21184.31
d_0,3.74,4.94,,10.99,9.71,37.05,688.04,4786.1,2183.99,1987.75,3787.69,3612.37,7652.87,9903.8,9850.46,17031.5
g_1,2.93,3.14,7.75,5.48,8.14,,656.3,1378.28,5857.73,2149.86,2883.98,5274.53,5733.35,10517.16,11006.83,
c_0,3.62,4.95,4.98,,9.35,31.66,725.04,1759.75,1614.53,5505.76,4781.05,4679.14,5858.19,10084.38,10020.05,18866.15
b_0,3.42,4.69,4.97,5.4,,,739.02,1782.21,1436.21,1534.47,7602.97,4282.66,,7892.61,7224.79,10822.87
f_0,2.45,,5.19,5.54,6.78,22.32,543.37,1686.59,1068.47,1827.93,2124.79,9587.42,5924.94,9458.27,14676.03,12868.8
a_0,3.59,2.9,3.23,4.85,5.89,,539.04,1037.66,1154.28,1370.78,,3312.31,15079.22,6542.76,6781.12,
h_0,3.58,5.08,4.03,4.41,7.15,30.05,,1616.62,1274.7,1507.79,2200.92,2923.86,4855.62,,6239.54,18634.18
e_0,,2.73,4.08,3.69,7.23,25.43,318.03,1005.59,818.71,1208.3,2089.99,2045.91,4259.09,7045.2,20179.07,11152.91
g_0,2.48,2.29,5.04,4.23,,18.16,379.05,925.6,,1235.77,2444.55,4577.02,,5687.06,6349.69,
