,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.45,2.33,4.68,5.08,4.93,5.29,1.16,0.89,0.88,1.42,0.77,0.88,0.77,0.72,2.44,0.68
f_1,4.04,0.44,4.06,4.19,4.05,3.57,0.89,0.97,0.84,1.49,0.84,3.93,0.46,0.92,0.9,0.78
c_1,3.96,4.8,0.43,6.3,4.59,3.52,1.32,0.43,2.58,1.41,0.82,0.77,0.62,1.04,0.94,0.64
d_1,6.31,4.03,4.62,0.42,4.69,4.11,1.16,5.14,0.78,0.79,0.86,1.17,0.54,0.92,0.86,0.32
b_1,4.89,6.17,2.59,4.82,0.38,6.36,1.55,1.18,1.56,1.71,4.68,0.87,0.62,1.25,0.95,0.78
a_1,6.62,5.84,6.1,7.69,2.55,0.34,1.63,1.36,1.1,1.9,1.8,1.14,1.3,3.52,1.22,1.06
h_1,5.56,5.33,5.27,4.53,4.99,5.14,0.35,1.1,1.16,1.32,1.13,0.8,1.99,0.8,0.98,0.77
d_0,2.98,6.16,6.23,11.67,6.48,5.42,1.77,0.48,0.91,1.45,1.17,1.08,0.71,1.13,0.9,0.98
c_0,4.85,6.81,21.16,2.96,7.92,4.69,1.68,1.43,0.44,1.88,1.28,0.95,0.83,1.05,1.04,1.13
g_1,5.69,7.28,6.59,4.73,6.56,5.91,1.46,1.22,1.15,0.31,1.38,1.09,0.64,1.04,0.9,2.08
b_0,4.46,6.47,8.76,4.18,32.57,5.78,2.05,1.06,0.56,1.82,0.41,1.13,0.77,1.04,0.95,1.02
f_0,5.06,23.98,6.35,5.38,7.85,6.39,1.76,1.13,1.12,0.91,1.31,0.4,1.01,1.11,0.93,0.67
h_0,6.65,8.04,6.85,6.21,7.08,7.17,8.56,1.31,1.41,2.57,1.38,1.5,3.11,1.22,1.65,0.87
a_0,7.91,7.34,6.68,5.57,10.92,,2.04,1.49,1.76,1.67,0.84,1.43,1.17,0.36,1.02,1.32
e_0,23.56,7.65,8.03,5.89,6.24,8.87,1.92,1.53,1.62,1.6,1.6,0.79,1.18,1.68,0.35,1.07
g_0,7.47,9.6,7.78,6.58,7.86,8.59,1.98,1.67,1.45,4.65,1.34,1.39,0.89,1.75,1.49,2.45
