,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.5,0.73,0.69,0.88,0.65,0.53,0.9,0.79,1.47,0.88,0.87,0.92,0.88,0.73,0.99,0.6
f_1,1.16,1.51,0.66,0.7,0.6,0.59,0.71,0.76,0.82,0.75,0.89,0.47,0.81,0.68,0.71,0.58
d_1,0.79,0.88,1.56,0.66,0.6,0.61,0.91,0.74,0.67,1.37,0.89,0.86,1.02,0.75,0.77,0.68
c_1,0.7,0.75,0.75,1.56,1.23,0.5,0.87,0.81,0.81,0.56,0.57,0.85,0.91,0.7,0.78,0.73
b_1,0.77,0.9,0.85,0.57,1.62,1.05,0.84,0.83,0.74,0.96,0.58,0.84,0.99,0.69,0.75,0.72
a_1,0.82,0.82,0.9,0.86,0.63,1.78,1.04,0.86,0.96,1.02,0.98,1.03,1.11,0.51,0.96,0.8
h_1,0.91,1.33,0.94,0.99,0.91,0.61,1.76,1.3,1.19,1.03,1.16,0.98,1.02,1.04,1.38,0.86
g_1,0.95,0.94,1.41,0.96,0.9,0.82,1.15,1.84,1.01,0.88,1.1,1.51,1.17,0.98,1.0,1.05
d_0,0.84,1.08,0.68,1.68,1.08,0.72,1.13,1.01,1.63,0.98,1.08,1.01,1.46,1.02,1.21,0.9
c_0,1.13,1.26,0.87,0.93,0.73,0.81,1.21,1.24,1.39,1.67,2.09,1.02,1.48,1.03,1.33,1.1
b_0,1.1,1.07,1.1,1.37,0.62,0.56,1.35,1.21,1.23,1.02,1.73,1.13,1.22,1.79,1.21,1.0
f_0,0.92,0.82,1.06,1.18,0.92,0.85,1.33,1.16,1.27,1.28,1.29,1.77,1.51,1.1,1.29,1.76
h_0,1.16,1.47,1.11,1.08,0.92,0.76,0.93,1.43,1.07,1.07,1.28,1.09,0.95,0.99,1.71,0.94
a_0,1.06,1.2,1.24,1.3,0.86,0.55,1.27,1.19,1.41,1.3,1.16,1.22,1.55,1.82,1.29,0.94
g_0,1.04,1.29,1.53,1.07,0.89,0.87,1.09,1.01,1.03,1.17,1.44,1.61,1.25,1.16,1.17,1.1
e_0,0.79,1.32,1.25,1.21,1.17,0.9,1.43,1.19,1.45,1.33,1.43,1.1,1.55,1.31,1.29,1.83
