,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.46,19.45,28.44,26.42,42.36,29.02,9.41,6.25,6.8,10.21,5.73,7.4,5.1,8.67,,6.3
f_1,45.0,0.45,29.5,45.31,27.02,27.16,5.21,5.57,5.5,11.18,7.97,,3.76,6.5,7.24,7.08
d_1,45.67,42.92,0.43,28.8,42.56,37.54,9.79,,6.13,4.72,6.91,9.22,4.57,10.48,6.24,2.91
c_1,34.98,38.85,52.97,0.41,34.94,38.09,10.41,3.53,,11.26,8.79,5.52,6.05,5.71,10.53,5.37
b_1,36.39,63.0,32.0,19.81,0.38,56.3,9.72,6.88,9.43,14.71,,10.04,5.65,,5.62,3.84
a_1,58.71,58.24,43.31,49.17,22.68,0.34,15.43,9.76,7.34,14.87,7.48,,6.25,,9.39,
h_1,20.01,14.41,15.78,23.82,16.6,11.94,0.38,4.9,3.66,5.43,3.05,4.32,,2.48,5.13,2.42
d_0,8.99,14.69,,15.32,10.81,13.39,5.19,0.51,4.67,3.92,2.58,3.64,1.66,3.16,3.8,2.58
c_0,15.02,12.91,9.68,,17.17,28.54,5.1,3.39,0.49,4.86,3.15,2.61,1.96,3.11,2.49,2.16
g_1,25.5,31.53,19.45,22.99,16.95,30.74,4.03,4.68,3.91,0.33,4.66,4.15,2.26,3.41,3.11,
b_0,17.56,14.44,18.1,18.75,,16.3,4.0,3.76,1.99,5.07,0.47,2.63,2.52,,2.85,1.92
f_0,16.47,,16.33,14.7,21.57,,5.25,2.79,4.05,3.42,3.29,0.46,2.25,2.85,4.22,1.22
h_0,10.41,13.81,14.23,11.33,19.2,13.95,,2.55,2.28,3.46,2.68,3.12,,2.09,1.85,2.06
a_0,19.8,18.61,22.55,20.95,,,6.57,4.16,6.5,5.88,,5.08,2.66,0.38,,2.87
e_0,,24.34,30.63,28.45,18.96,12.36,6.45,6.59,4.87,4.75,5.0,1.89,2.61,,0.37,3.25
g_0,13.56,11.4,16.4,17.41,17.7,,2.76,4.03,2.92,,4.36,2.46,1.4,2.34,3.56,
