,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.12,3.82,4.73,3.73,4.16,4.15,0.82,0.87,1.43,0.81,0.87,1.67,0.45,0.83,0.87,0.6
e_1,2.4,1.12,5.09,5.44,4.93,4.11,1.25,1.0,1.65,1.23,0.95,1.11,0.7,0.91,2.54,0.87
c_1,5.59,3.59,1.12,5.85,4.51,4.43,1.42,0.6,1.33,1.58,0.96,0.86,0.77,0.84,0.91,0.62
d_1,5.27,6.53,5.63,1.11,5.85,4.0,1.18,2.1,0.76,0.86,0.97,0.84,0.58,0.82,0.78,0.47
b_1,6.17,5.61,2.78,6.53,1.13,6.16,2.13,1.24,1.74,1.65,3.49,1.35,0.87,1.44,0.97,0.86
a_1,10.27,8.98,7.55,9.67,4.0,1.14,3.2,1.96,2.88,1.84,3.68,1.82,1.41,4.86,2.04,1.12
h_1,14.69,14.76,16.14,16.22,15.22,15.19,1.73,3.31,5.2,3.39,3.15,3.37,3.67,2.92,3.09,2.72
d_0,18.44,9.98,18.69,24.7,16.82,17.28,6.3,2.13,4.99,3.43,3.35,3.39,2.79,3.97,3.27,3.31
g_1,23.04,20.7,22.36,19.58,20.4,14.49,4.36,4.69,1.81,4.11,4.03,3.77,2.35,3.97,4.26,4.83
c_0,22.08,21.57,50.91,9.79,25.02,18.29,6.11,5.73,4.91,2.14,3.63,4.32,3.47,4.18,3.87,3.28
b_0,21.07,21.57,32.76,15.29,44.26,29.9,6.66,4.6,6.22,2.51,2.08,5.49,3.83,4.58,3.95,3.7
f_0,35.8,25.55,26.06,27.21,19.31,24.15,7.2,6.65,3.69,5.38,4.8,2.29,3.47,4.47,4.79,2.37
h_0,27.72,30.27,27.12,25.28,28.77,22.7,13.0,6.77,9.61,5.03,5.75,4.95,6.34,5.26,5.32,3.91
a_0,34.78,32.16,29.81,28.93,41.1,60.77,9.16,7.23,10.06,6.18,3.54,6.73,4.93,2.59,6.72,3.82
e_0,48.51,50.73,28.04,28.42,28.77,33.05,8.86,7.76,7.55,6.12,6.49,3.22,4.07,5.56,2.44,4.52
g_0,38.41,33.98,38.03,34.9,38.88,41.87,7.26,7.6,15.1,7.34,6.57,6.92,4.04,6.59,7.23,7.73
