,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,8626.0,260.52,198.86,262.18,499.77,1724.16,264937.97,615156.63,461539.31,766975.43,,1417830.0,4520098.19,8605902.21,7067647.47,13657286.67
e_1,122.24,9347.68,237.7,193.13,428.43,1564.08,198343.43,1046207.4,595180.2,901015.75,947060.44,1530566.79,6123303.55,,9292826.36,8504631.8
c_1,138.25,113.09,19298.95,207.88,917.26,1952.94,294826.79,565502.1,479586.59,,1132675.78,1249077.17,5309476.64,,8301923.46,18629837.99
d_1,103.72,136.12,238.98,21645.21,431.66,1479.95,318377.16,,618630.11,1612936.27,1467782.87,958394.68,3899770.03,8864358.69,9992028.34,13235502.8
b_1,127.13,125.5,234.13,299.85,51508.25,2640.91,239212.33,611771.96,431415.74,719552.49,919014.19,,5964821.79,,8915155.59,14485793.1
a_1,122.99,117.18,341.05,234.25,499.39,202921.12,249164.73,729454.56,467450.64,,906868.13,,5231989.6,10791393.18,,14087178.63
h_1,747.43,329.17,1076.52,761.94,2042.4,4473.76,13271300.49,1878391.9,3009287.83,4759657.07,2646608.88,4935854.52,,25803629.36,40273213.48,59747686.51
d_0,735.97,640.58,1645.82,,2671.24,6455.18,1346363.82,17413002.69,2252666.89,4760666.54,7093724.06,5378122.01,26218081.22,29393699.53,45876443.18,75352594.7
g_1,503.97,330.69,580.58,1683.97,1550.25,5393.21,854899.72,1952104.97,33790003.3,2239168.31,7507161.96,5432863.08,14211431.88,,36412667.71,
c_0,583.82,737.43,,1584.99,2130.37,,1296869.75,1990002.52,2531498.62,29573250.24,8171068.96,14834825.74,22277141.39,48277549.59,51554960.58,49168815.08
f_0,,651.67,1153.73,1206.73,2567.21,6882.94,1329422.16,2549941.34,2334369.83,5200555.42,41634279.4,7574462.94,29720231.08,88919162.79,,81108258.37
b_0,550.13,734.58,1558.28,919.1,,,1368679.24,2625239.66,3360331.82,5041221.48,5633827.81,54672621.56,29252892.13,37351109.9,72870040.97,64864201.1
h_0,1266.89,866.29,1839.01,1893.79,4645.05,9942.13,,3977413.88,5581384.47,6721253.55,7647921.25,14683975.58,,55718826.03,45927644.57,108568938.64
e_0,429.19,,,1649.22,,10778.15,1449165.0,3803687.76,,5506230.7,4922799.88,10178812.43,24090204.99,520042376.3,,91571423.48
a_0,717.39,466.01,1090.89,1222.5,2056.14,,1376849.62,2934345.69,2337060.75,5522098.8,,7777635.19,21616510.35,,538221902.59,
g_0,580.6,911.47,1493.12,3201.02,5026.95,10935.27,2321510.29,2671708.92,,7448661.94,12843156.38,10327191.62,33446090.96,77324085.11,,
