,d_1,f_1,e_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
d_1,0.43,2.3,2.33,1.89,1.94,1.9,0.55,1.46,0.39,0.36,0.41,0.32,0.29,0.36,0.38,0.17
f_1,1.68,0.43,1.86,2.38,2.14,1.51,0.41,0.48,0.44,0.67,0.41,1.05,0.23,0.39,0.39,0.34
e_1,2.39,1.1,0.42,2.28,2.38,2.27,0.73,0.5,0.45,0.88,0.53,0.52,0.37,0.46,0.75,0.43
c_1,2.94,2.01,1.85,0.41,1.92,2.06,0.58,0.23,0.8,0.62,0.39,0.37,0.32,0.43,0.47,0.35
b_1,2.5,2.85,2.3,1.17,0.39,3.37,0.67,0.5,0.56,0.58,1.33,0.43,0.35,0.6,0.42,0.34
a_1,2.46,2.93,2.94,4.18,1.39,0.33,0.73,0.48,0.54,0.81,0.66,0.81,0.34,1.31,0.68,0.43
h_1,2.89,3.18,3.77,3.28,3.27,3.09,0.34,0.75,0.61,1.06,0.62,0.69,0.89,0.58,0.63,0.58
d_0,7.78,3.52,1.83,3.94,3.39,3.74,1.32,0.4,0.83,1.25,0.96,1.03,0.6,0.79,0.84,0.73
c_0,1.92,3.92,4.11,8.03,4.83,3.9,1.05,1.02,0.4,1.2,0.73,0.62,0.51,0.73,0.6,0.63
g_1,3.68,4.09,3.73,4.15,3.85,3.49,0.9,0.87,0.77,0.3,0.72,0.72,0.35,0.79,0.71,0.76
b_0,2.94,4.18,3.97,5.63,7.4,3.95,1.2,0.74,0.43,1.08,0.36,0.74,0.51,0.68,0.94,0.51
f_0,3.62,7.77,4.33,4.0,4.35,3.82,1.18,1.05,0.69,0.68,0.79,0.36,0.59,0.97,0.73,0.39
h_0,4.65,4.35,4.22,4.63,5.19,3.7,2.14,0.9,0.9,1.21,0.79,0.85,1.2,0.77,0.73,0.67
a_0,3.7,5.24,4.66,4.5,8.5,9.8,1.45,0.85,0.74,1.79,0.51,0.91,0.64,0.32,0.85,0.75
e_0,4.35,7.7,8.34,4.48,4.57,5.48,1.13,1.23,1.0,1.17,1.02,0.42,0.68,0.86,0.32,0.59
g_0,5.04,6.17,4.68,5.14,6.54,4.85,1.23,0.98,1.06,1.92,0.98,1.11,0.53,1.07,0.81,0.88
