,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,a_0,h_0,g_0,e_0
e_1,5.42,0.07,0.04,0.06,0.05,0.08,0.26,0.71,0.25,0.49,0.53,0.36,0.41,0.68,0.55,
f_1,0.13,5.48,0.08,0.08,0.08,0.06,0.36,0.33,0.26,0.46,0.3,,0.33,0.62,0.54,0.21
d_1,0.08,0.08,6.18,0.07,0.07,0.08,0.35,,0.3,0.71,0.36,0.41,0.39,0.49,0.48,0.44
c_1,0.1,0.08,0.09,6.62,0.14,0.06,0.26,0.42,0.36,,0.33,0.34,0.36,0.53,0.29,0.34
b_1,0.08,0.06,0.08,0.08,8.54,0.11,0.39,0.29,0.34,0.24,,0.41,0.32,0.68,0.42,0.6
a_1,0.05,0.06,0.06,0.08,0.07,10.96,0.32,0.44,0.33,0.31,0.27,0.32,,1.0,0.95,
h_1,0.27,0.33,0.34,0.25,0.32,0.29,13.27,1.04,1.48,1.71,1.44,1.44,1.69,,1.99,1.93
d_0,0.31,0.36,,0.82,0.51,0.35,1.43,11.81,1.57,1.85,1.76,1.58,1.56,3.09,2.53,1.95
g_1,0.23,0.32,0.51,0.26,0.24,0.28,0.99,1.03,18.63,1.36,1.54,2.49,,1.47,,1.67
c_0,0.44,0.33,0.31,,0.44,0.42,1.14,2.31,1.3,12.83,2.72,2.44,1.31,3.72,3.73,1.55
b_0,0.39,0.49,0.41,0.34,,0.3,1.53,1.63,1.21,1.93,14.8,1.56,3.26,2.66,2.67,1.69
f_0,0.36,,0.43,0.43,0.37,0.48,1.44,1.7,0.88,1.72,1.49,14.75,2.86,2.99,3.26,3.64
a_0,0.32,0.33,0.3,0.39,,,1.75,2.63,0.96,1.68,1.63,1.63,19.4,3.2,3.63,2.68
h_0,0.48,0.89,0.54,0.51,0.27,0.81,,3.35,3.12,2.64,2.88,2.24,2.78,,5.71,3.14
g_0,0.54,0.47,0.94,0.55,0.69,0.37,2.42,2.15,,2.02,4.06,4.77,1.82,3.8,,2.16
e_0,,0.6,0.42,0.4,0.38,,1.26,2.53,1.15,2.22,1.45,1.82,,2.64,4.31,20.6
