,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,0.89,0.24,0.13,0.21,0.13,0.1,0.17,0.31,0.12,0.14,0.17,0.14,0.14,0.11,0.07,0.15
f_1,0.33,0.89,0.16,0.18,0.13,0.1,0.13,0.18,0.13,0.15,0.14,0.05,0.15,0.08,0.08,0.11
d_1,0.17,0.22,0.89,0.13,0.18,0.1,0.17,0.08,0.14,0.31,0.17,0.15,0.2,0.1,0.12,0.14
c_1,0.17,0.17,0.2,0.89,0.24,0.09,0.16,0.17,0.13,0.06,0.12,0.17,0.19,0.1,0.1,0.12
b_1,0.18,0.17,0.21,0.18,0.88,0.19,0.15,0.16,0.12,0.14,0.06,0.13,0.14,0.08,0.1,0.15
a_1,0.18,0.19,0.21,0.18,0.16,0.87,0.16,0.2,0.15,0.14,0.17,0.14,0.18,0.05,0.09,0.14
h_1,0.25,0.35,0.24,0.19,0.14,0.12,0.56,0.21,0.19,0.17,0.2,0.18,0.12,0.13,0.11,0.21
d_0,0.27,0.24,0.09,0.41,0.16,0.13,0.21,0.42,0.15,0.14,0.18,0.16,0.2,0.09,0.11,0.18
g_1,0.2,0.2,0.3,0.22,0.22,0.12,0.2,0.21,0.55,0.16,0.17,0.28,0.2,0.13,0.11,0.08
c_0,0.25,0.27,0.25,0.14,0.15,0.11,0.22,0.2,0.16,0.43,0.34,0.2,0.21,0.14,0.13,0.18
b_0,0.25,0.29,0.22,0.24,0.09,0.11,0.21,0.23,0.17,0.19,0.39,0.18,0.25,0.25,0.12,0.19
f_0,0.21,0.13,0.28,0.22,0.2,0.1,0.27,0.19,0.16,0.18,0.25,0.42,0.21,0.15,0.26,0.19
h_0,0.18,0.34,0.22,0.21,0.21,0.12,0.13,0.21,0.21,0.21,0.22,0.2,0.13,0.12,0.12,0.22
a_0,0.22,0.27,0.29,0.21,0.14,0.08,0.26,0.21,0.2,0.2,0.2,0.18,0.26,0.39,0.15,0.17
e_0,0.11,0.29,0.22,0.24,0.17,0.15,0.31,0.23,0.17,0.19,0.2,0.16,0.27,0.15,0.37,0.2
g_0,0.2,0.18,0.36,0.25,0.18,0.13,0.23,0.19,0.06,0.19,0.21,0.31,0.19,0.11,0.12,0.12
