,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,0.42,0.84,1.19,1.56,1.46,1.31,0.79,0.71,0.69,0.62,0.59,0.7,0.5,0.57,0.51,1.44
f_1,1.59,0.41,1.22,1.24,1.32,0.99,0.53,0.53,0.71,0.5,0.59,0.91,0.42,0.6,0.57,0.48
d_1,1.32,1.24,0.4,1.36,1.27,1.39,0.71,1.31,0.53,0.73,0.57,0.63,0.46,0.57,0.35,0.53
c_1,1.11,1.42,1.48,0.39,1.57,1.02,0.78,0.36,0.7,1.12,0.62,0.49,0.51,0.59,0.51,0.41
b_1,1.3,1.37,1.37,0.73,0.36,1.68,0.84,0.66,0.68,0.88,1.35,0.67,0.47,0.64,0.46,0.79
a_1,1.29,1.81,1.55,1.71,0.71,0.31,0.59,0.59,1.13,0.58,0.52,0.57,0.57,0.97,0.54,0.49
h_1,0.88,1.07,0.96,0.91,0.96,1.02,0.25,0.41,0.58,0.36,0.43,0.39,0.58,0.45,0.45,0.59
d_0,0.64,1.02,1.85,1.02,0.92,0.96,0.59,0.28,0.52,0.47,0.44,0.44,0.42,0.47,0.42,0.49
g_1,1.1,0.98,0.83,1.09,1.05,0.96,0.42,0.5,0.23,0.43,0.45,0.43,0.29,0.41,0.59,0.49
c_0,0.97,1.03,0.61,1.52,0.93,1.09,0.56,0.51,0.52,0.26,0.54,0.5,0.43,0.43,0.52,0.49
b_0,0.91,0.88,1.02,0.96,1.57,1.17,0.49,0.48,0.49,0.26,0.25,0.41,0.33,0.39,0.37,0.42
f_0,0.82,1.85,0.93,1.14,0.9,0.94,0.53,0.43,0.42,0.34,0.44,0.25,0.35,0.42,0.25,0.42
h_0,0.89,0.91,1.01,0.92,1.15,0.95,0.86,0.39,0.55,0.37,0.43,0.41,0.56,0.34,0.4,0.44
a_0,1.0,1.11,0.84,0.91,0.9,,0.55,0.4,0.54,0.39,0.29,0.36,0.42,0.21,0.4,0.45
g_0,0.81,0.97,1.08,0.98,1.24,0.88,0.37,0.42,0.79,0.32,0.4,0.43,0.33,0.4,0.5,0.45
e_0,1.46,1.38,1.09,1.11,0.7,0.95,0.36,0.4,0.49,0.37,0.39,0.25,0.37,0.41,0.29,0.21
