,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.72,1.0,1.02,0.86,1.05,1.03,1.27,0.95,1.04,1.05,1.02,1.04,1.08,,1.12
f_1,1.4,1.0,1.1,0.65,1.23,0.89,0.86,1.18,0.91,1.12,1.02,,1.02,0.91,,
c_1,1.0,0.91,1.0,1.11,1.43,0.91,1.25,0.67,,1.17,1.1,0.74,1.0,0.92,1.11,1.08
d_1,0.98,1.53,0.9,1.0,0.93,0.86,0.95,,1.37,0.79,0.95,1.04,0.93,1.15,,0.78
b_1,1.17,0.81,0.7,1.08,1.0,1.48,1.11,1.15,1.03,0.93,,1.2,1.06,0.93,,0.88
a_1,0.95,1.12,1.1,1.16,0.68,1.0,0.94,0.89,0.92,1.04,0.93,1.24,,1.21,,1.0
h_1,0.97,1.16,0.8,1.05,0.9,1.06,1.0,0.82,1.13,1.16,0.84,1.03,0.91,,0.93,1.29
d_0,0.79,0.85,1.5,,0.87,1.12,1.22,1.0,1.07,0.89,1.03,0.89,0.89,1.28,0.85,1.0
c_0,1.05,1.1,,0.73,0.97,1.08,0.89,0.94,1.0,1.03,1.3,1.02,1.04,0.97,1.05,1.05
g_1,0.96,0.89,0.85,1.27,1.08,0.96,0.86,1.12,0.97,1.0,1.02,1.2,0.72,1.05,0.93,
b_0,0.95,0.98,0.91,1.05,,1.08,1.19,0.97,0.77,0.98,1.0,0.98,1.33,0.91,1.21,1.06
f_0,0.98,,1.36,0.96,0.83,0.8,0.97,1.12,0.98,0.83,1.02,1.0,1.05,0.88,1.46,0.83
a_0,0.96,0.98,1.0,1.08,0.94,,1.1,1.12,0.96,1.38,0.75,0.95,1.0,0.92,,
h_0,0.93,1.1,1.08,0.87,1.07,0.83,,0.78,1.03,0.96,1.1,1.14,1.08,,0.95,1.11
e_0,,,0.9,,,,1.07,1.18,0.95,1.08,0.83,0.69,,1.05,1.0,1.04
g_0,0.89,,0.93,1.29,1.13,1.0,0.78,1.0,0.95,,0.94,1.2,,0.9,0.96,
