,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.18,0.64,0.6,0.68,0.6,0.6,0.13,0.13,0.19,0.14,0.29,0.14,0.07,0.16,0.11,0.14
e_1,0.36,0.17,0.85,0.67,0.75,0.75,0.21,0.15,0.22,0.13,0.17,0.13,0.11,0.23,0.19,0.1
c_1,0.75,0.52,0.15,0.85,0.7,0.5,0.16,0.08,0.21,0.23,0.13,0.12,0.1,0.12,0.11,0.09
d_1,0.68,0.8,0.65,0.15,0.7,0.58,0.21,0.32,0.11,0.12,0.12,0.16,0.1,0.13,0.12,0.06
b_1,0.75,0.75,0.33,0.71,0.13,0.71,0.21,0.15,0.22,0.17,0.13,0.28,0.1,0.13,0.15,0.09
a_1,0.78,0.65,0.69,0.73,0.32,0.1,0.22,0.16,0.21,0.18,0.13,0.16,0.09,0.13,0.28,0.1
h_1,0.53,0.52,0.57,0.51,0.52,0.49,0.06,0.1,0.15,0.1,0.1,0.11,0.09,0.09,0.11,0.07
d_0,0.55,0.29,0.65,0.99,0.49,0.43,0.17,0.06,0.19,0.12,0.12,0.14,0.08,0.1,0.11,0.12
g_1,0.6,0.53,0.58,0.44,0.53,0.63,0.1,0.12,0.05,0.09,0.11,0.09,0.06,0.1,0.11,0.1
c_0,0.59,0.52,1.24,0.26,0.63,0.55,0.15,0.13,0.16,0.06,0.1,0.12,0.09,0.1,0.13,0.08
f_0,1.07,0.49,0.57,0.41,0.57,0.47,0.18,0.1,0.09,0.1,0.05,0.11,0.09,0.1,0.11,0.05
b_0,0.57,0.49,0.78,0.4,1.14,0.6,0.14,0.11,0.14,0.05,0.1,0.05,0.07,0.09,0.1,0.07
h_0,0.56,0.47,0.54,0.51,0.48,0.45,0.26,0.12,0.17,0.11,0.1,0.1,0.11,0.09,0.1,0.07
e_0,0.75,0.66,0.62,0.44,0.51,0.47,0.18,0.12,0.13,0.08,0.05,0.09,0.08,0.04,0.1,0.06
a_0,0.65,0.52,0.56,0.49,0.53,0.65,0.17,0.11,0.13,0.08,0.11,0.05,0.07,0.08,0.04,0.08
g_0,0.62,0.6,0.49,0.53,0.48,0.49,0.11,0.1,0.24,0.11,0.09,0.1,0.06,0.08,0.1,0.1
