,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
e_1,9.89,0.79,0.6,1.02,0.67,0.65,0.86,2.46,0.81,0.9,1.05,0.94,1.17,1.03,0.66,0.89
f_1,2.0,9.65,0.61,0.72,0.52,0.6,0.99,1.02,0.86,0.83,0.96,0.61,0.86,0.94,0.63,0.96
d_1,0.63,0.77,14.56,0.42,0.67,0.69,1.05,0.49,2.82,1.0,1.37,1.07,1.05,1.09,1.04,1.06
c_1,0.49,0.6,0.68,14.51,2.03,0.75,0.8,0.88,0.45,0.85,0.63,0.85,0.94,0.75,0.9,0.91
b_1,0.55,0.63,0.72,0.69,13.7,1.91,0.81,0.82,0.81,1.07,0.57,1.19,0.84,0.69,1.2,0.81
a_1,0.72,0.91,0.64,0.72,0.67,17.47,1.07,1.04,0.85,0.7,0.91,0.78,1.0,0.73,1.14,1.17
h_1,0.69,1.19,1.05,0.73,0.62,0.55,3.02,0.78,1.19,1.42,1.06,1.12,0.84,1.24,1.01,1.57
d_0,0.72,0.79,0.47,2.23,0.88,0.72,0.84,1.7,0.58,0.92,0.89,0.98,1.17,0.95,0.96,1.04
c_0,0.82,1.04,1.01,0.48,0.59,0.77,1.35,0.76,2.27,1.15,3.0,1.16,1.02,1.55,1.18,1.31
g_1,0.53,0.61,2.13,0.71,0.63,0.82,1.1,0.71,1.19,4.5,1.02,2.12,1.13,0.93,1.78,0.79
b_0,0.81,0.82,1.04,0.87,0.48,0.57,1.22,0.94,1.25,1.1,2.23,1.08,1.26,2.78,1.16,1.17
f_0,0.45,0.68,1.09,1.02,0.75,0.75,1.16,0.98,1.13,1.23,1.34,2.89,1.32,1.29,3.24,1.1
h_0,0.71,1.11,0.95,0.86,0.79,0.69,0.88,0.85,1.01,1.69,1.04,1.19,0.74,0.99,1.2,1.52
a_0,0.82,0.88,0.91,0.92,0.7,0.4,1.15,0.83,0.97,1.11,0.98,1.31,1.36,3.07,1.0,1.14
e_0,0.51,0.9,0.95,0.76,0.8,0.78,1.27,0.88,1.16,1.23,1.58,1.5,1.15,1.36,3.19,1.05
g_0,0.64,0.57,1.82,0.75,0.77,0.62,1.11,0.67,1.14,0.77,1.17,2.13,1.02,1.33,1.5,0.93
