,e_1,d_1,f_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
e_1,1.0,0.88,0.77,1.2,0.97,0.75,0.8,0.9,0.69,0.66,0.65,0.69,0.61,0.63,0.72,0.63
d_1,1.14,1.0,1.06,0.9,0.9,0.79,0.68,0.73,0.55,0.8,0.65,0.66,0.55,0.53,0.55,0.51
f_1,1.3,0.94,1.0,0.95,0.91,0.78,0.57,0.64,0.73,0.58,0.65,0.59,0.58,0.6,0.47,0.52
c_1,0.83,1.1,1.07,1.0,1.44,0.8,0.75,0.51,0.65,0.56,0.51,0.6,0.52,0.53,0.58,0.63
b_1,1.04,1.12,1.1,0.7,1.0,1.49,0.76,0.7,0.81,0.77,0.63,0.66,0.73,0.5,0.63,0.58
a_1,1.37,1.26,1.3,1.23,0.67,1.0,0.86,0.72,0.84,0.85,0.85,0.7,0.7,0.79,0.66,0.69
h_1,1.25,1.5,1.8,1.34,1.3,1.11,1.0,0.86,1.05,0.86,0.91,0.73,0.81,0.79,0.71,0.84
d_0,1.11,1.37,1.48,2.07,1.47,1.42,1.21,1.0,1.06,0.75,0.98,0.83,0.94,0.9,0.75,0.87
g_1,1.51,1.83,1.3,1.53,1.25,1.13,0.97,0.93,1.0,0.92,0.92,1.18,0.67,0.76,0.83,0.9
c_0,1.48,1.22,1.74,1.69,1.25,1.2,1.2,1.37,1.08,1.0,1.4,0.98,1.07,0.91,0.87,0.82
b_0,1.61,1.46,1.62,1.96,1.67,1.16,1.1,1.02,1.08,0.73,1.0,0.93,1.1,1.34,0.84,0.88
f_0,1.51,1.59,1.74,1.61,1.47,1.34,1.29,1.17,0.85,1.06,0.99,1.0,0.9,1.02,1.39,0.79
h_0,1.59,1.76,1.83,1.91,1.43,1.34,1.25,1.08,1.44,0.96,0.89,1.03,1.0,0.89,0.8,1.13
a_0,1.61,1.89,1.6,1.8,2.23,1.17,1.22,1.12,1.44,1.04,0.73,1.08,1.14,1.0,0.93,0.86
e_0,1.44,1.82,2.21,1.8,1.65,1.25,1.46,1.29,1.17,1.13,1.16,0.72,1.26,1.08,1.0,1.09
g_0,1.55,2.02,1.81,1.66,1.58,1.38,1.16,1.16,1.14,1.27,1.19,1.29,0.87,1.13,0.93,1.02
