,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,a_0,g_0,e_0
e_1,1.09,1.53,2.52,2.41,2.57,2.15,0.71,0.53,0.73,0.47,0.56,0.5,0.36,0.49,0.37,0.64
f_1,2.41,1.09,2.6,2.11,2.33,2.6,0.54,0.56,0.72,0.48,0.57,0.44,0.26,0.44,0.37,0.41
c_1,2.11,2.74,1.09,3.57,2.65,2.41,0.78,0.34,0.68,0.73,0.46,0.56,0.43,0.5,0.46,0.47
d_1,3.18,3.03,2.68,1.08,2.52,2.09,0.66,0.79,0.49,0.53,0.52,0.62,0.33,0.56,0.26,0.43
b_1,3.07,3.32,1.77,3.47,1.11,2.75,0.88,0.64,0.89,0.86,0.63,0.93,0.44,0.67,0.41,0.61
a_1,4.31,4.8,3.89,4.35,2.17,1.11,1.3,1.04,1.25,1.06,1.11,1.43,0.67,1.09,0.68,1.11
h_1,8.9,9.29,9.3,8.32,8.23,8.17,1.49,1.94,2.33,1.71,1.64,1.79,1.57,1.5,1.13,1.48
d_0,6.88,9.95,12.0,15.17,11.98,10.67,3.58,1.77,3.25,2.17,2.15,2.04,1.93,2.0,1.6,2.1
g_1,11.61,12.71,12.46,11.42,10.73,9.29,2.49,2.9,1.59,2.51,2.05,2.42,1.37,2.0,1.92,1.97
c_0,13.35,12.39,20.56,7.73,12.67,11.24,3.64,4.12,3.2,1.76,2.33,2.43,1.7,2.51,1.46,2.44
f_0,13.4,18.52,14.22,13.33,12.79,11.24,3.99,3.07,2.53,2.72,1.87,2.94,2.07,2.38,1.29,2.99
b_0,14.57,14.69,20.96,12.02,17.68,14.52,4.58,3.47,4.15,1.79,2.64,1.76,1.97,2.65,1.76,2.81
h_0,17.34,19.78,16.9,17.4,17.36,15.84,6.3,4.12,5.42,3.93,3.31,3.94,3.23,3.65,2.6,3.29
a_0,19.56,20.24,20.83,20.03,20.91,28.26,6.49,4.31,6.34,3.46,3.56,2.32,2.86,2.12,2.74,3.13
g_0,21.39,22.91,21.81,19.07,23.87,20.11,5.51,5.02,6.86,4.48,3.88,4.63,2.49,4.42,3.55,3.46
e_0,26.7,26.38,26.9,21.97,22.03,19.91,6.64,5.09,6.22,5.39,2.64,4.88,3.23,3.88,2.64,2.3
