,f_1,e_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
f_1,2.07,1.26,0.74,0.73,0.63,0.71,0.87,0.83,0.79,0.91,0.95,0.58,0.86,0.88,0.61,0.93
e_1,0.8,2.15,0.56,0.92,0.77,0.7,1.06,0.83,0.88,1.77,1.06,1.03,0.97,1.0,0.72,0.92
d_1,0.86,0.66,2.19,0.64,0.67,0.76,1.02,1.04,1.69,0.56,1.25,1.18,1.14,1.07,1.07,1.02
c_1,0.64,0.77,0.75,2.25,1.41,0.64,0.77,0.73,0.46,0.83,0.62,0.84,0.94,0.85,0.88,0.88
b_1,0.79,0.62,0.79,0.75,2.36,1.28,0.83,0.91,0.96,0.9,0.65,0.92,0.82,1.1,1.07,1.02
a_1,0.83,0.73,0.85,0.83,0.65,3.32,1.05,0.95,1.11,0.92,0.95,1.02,0.65,1.11,1.11,1.12
h_1,1.1,0.78,1.06,0.77,0.69,0.66,2.15,1.39,1.12,0.97,1.11,0.95,0.97,0.8,1.11,1.39
g_1,0.84,0.67,1.35,0.84,0.7,0.73,0.89,2.64,0.89,0.75,1.03,1.76,1.02,1.06,1.34,0.8
c_0,0.92,0.79,1.06,0.67,0.56,0.79,1.24,1.23,1.86,1.0,2.1,1.18,1.39,1.08,1.27,1.17
d_0,0.77,0.85,0.54,1.47,0.92,0.7,1.19,1.1,0.65,1.7,0.96,0.98,0.98,0.99,0.92,1.02
b_0,0.97,0.88,1.0,0.87,0.45,0.57,1.07,1.28,1.08,1.01,1.99,1.28,2.44,1.24,1.14,1.06
f_0,0.73,0.74,0.93,0.95,0.83,0.72,1.05,1.32,1.21,1.02,1.09,1.97,1.12,1.26,2.36,0.99
a_0,0.96,0.8,1.03,0.87,0.86,0.48,1.39,1.24,1.01,0.96,1.18,1.14,2.22,1.27,1.27,1.11
h_0,1.13,0.81,1.03,0.77,0.63,0.91,0.74,1.62,1.0,0.93,1.1,1.02,0.94,0.73,1.18,1.32
e_0,0.93,0.42,1.1,0.89,0.72,0.95,1.25,1.18,0.95,1.0,1.0,1.15,1.1,1.06,2.8,1.3
g_0,0.69,0.64,1.41,0.77,0.83,0.8,1.18,0.98,1.12,0.77,1.1,1.61,1.05,0.95,1.34,0.76
