,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,3.79,0.39,0.3,0.42,0.44,0.41,0.83,1.31,0.77,0.88,0.76,0.77,0.89,1.09,0.77,0.25
f_1,0.82,4.06,0.41,0.37,0.33,0.25,0.57,0.8,0.55,0.76,0.79,0.16,0.88,0.71,0.89,0.45
d_1,0.37,0.44,4.2,0.31,0.39,0.41,0.84,0.22,0.68,1.5,1.02,0.93,0.89,0.74,0.94,0.79
c_1,0.34,0.37,0.39,4.22,0.68,0.42,0.75,0.82,0.78,0.17,0.62,0.73,0.91,0.66,0.83,0.95
b_1,0.36,0.34,0.46,0.4,4.61,0.77,0.81,0.7,0.71,0.76,0.2,0.89,0.79,0.56,0.82,0.89
a_1,0.33,0.38,0.42,0.42,0.46,6.82,0.66,0.85,0.69,0.98,0.89,1.0,0.82,0.16,0.59,0.94
h_1,0.58,0.97,0.72,0.62,0.57,0.66,5.33,1.56,1.8,1.13,1.15,1.3,0.66,1.61,2.55,1.58
d_0,0.66,0.74,0.17,1.44,0.67,0.71,1.1,3.55,0.99,1.16,1.6,1.37,1.75,1.22,1.33,1.6
g_1,0.49,0.69,1.16,0.63,0.59,0.39,1.22,1.28,6.84,1.29,1.51,2.39,1.33,1.54,0.75,1.9
c_0,0.63,0.94,0.74,0.38,0.63,0.8,1.55,1.62,1.37,3.87,2.96,1.46,1.7,1.54,1.55,1.47
b_0,0.76,0.81,0.62,0.85,0.24,0.41,1.51,1.49,1.41,1.28,4.9,1.79,1.99,3.66,1.51,1.37
f_0,0.63,0.28,0.91,0.89,0.67,0.57,1.53,1.44,1.67,1.46,1.52,4.63,1.69,1.61,2.18,3.11
h_0,0.76,1.0,0.65,0.86,0.64,0.47,0.53,1.29,1.67,1.19,1.61,1.22,0.47,1.51,1.59,1.82
a_0,0.63,0.84,0.79,0.74,0.5,,1.57,1.7,1.91,1.4,1.38,2.1,2.29,6.39,1.97,1.86
g_0,0.55,0.62,1.26,0.71,0.69,0.58,1.0,1.37,0.58,1.25,1.44,2.42,1.54,1.24,0.86,1.55
e_0,0.2,1.05,0.97,0.91,0.44,0.65,1.28,1.31,1.18,1.65,2.05,1.35,1.64,1.65,1.59,7.02
