,c_1,f_1,d_1,e_1,b_1,a_1,h_1,g_1,d_0,c_0,f_0,b_0,h_0,e_0,a_0,g_0
c_1,117.63,54.67,54.19,60.14,139.14,214.13,7457.2,11402.48,13785.17,9672.76,34948.2,27224.75,104245.36,91859.77,87762.4,134396.04
f_1,56.3,118.7,64.23,96.71,68.05,225.58,6352.94,11993.58,14446.86,19689.89,17447.35,34990.71,88293.26,52319.06,102555.78,129422.82
d_1,46.12,55.6,127.45,55.11,78.44,276.55,7419.75,10439.97,11369.11,34186.11,33189.21,42229.36,99968.02,104161.95,101627.74,132314.21
e_1,57.9,46.32,50.36,134.72,80.81,301.63,6040.54,11039.96,26543.53,19557.04,32556.06,34134.36,107412.05,68899.09,100641.52,161447.46
b_1,37.84,52.21,48.07,54.79,166.22,508.7,7084.53,8996.05,15086.14,17876.64,28183.99,16756.31,85798.13,76701.45,81855.0,114000.58
a_1,41.02,34.95,32.19,30.88,34.48,496.27,3695.07,7584.09,9895.49,12362.79,17912.46,19929.63,57516.04,67911.82,37683.89,93817.79
h_1,14.0,19.05,15.96,16.55,18.68,87.95,3131.26,3608.75,4263.33,6208.14,7998.11,9653.69,21182.0,22115.56,29090.92,48434.95
g_1,10.93,11.4,19.39,13.04,18.38,53.72,1607.11,4768.44,3523.54,4895.53,11111.65,7457.84,20190.76,23751.76,23435.41,26337.14
d_0,19.72,11.46,8.74,11.32,17.5,60.54,1365.01,2289.11,5086.08,3452.88,7876.83,6862.14,20187.72,19880.43,21435.5,30182.53
c_0,9.33,11.61,11.36,11.43,12.65,59.14,1424.19,2310.24,3338.37,6277.12,6926.18,12543.91,21380.72,21982.44,23333.39,34262.98
f_0,10.1,7.46,11.79,9.53,13.82,55.05,1223.3,1654.43,2451.13,3740.32,8508.25,6737.44,17312.9,27233.27,21616.97,24084.17
b_0,9.85,11.08,9.68,10.57,9.61,39.64,1171.63,2099.3,2889.21,3055.07,4783.17,8947.01,20157.91,17731.49,29738.16,26380.21
h_0,6.34,8.66,7.82,7.49,9.34,35.28,664.6,2061.25,2176.05,2653.64,3955.75,4006.78,9937.48,11357.45,13071.11,23337.11
e_0,7.08,9.37,7.67,4.21,11.02,33.05,1000.88,1384.43,1691.94,2060.58,3209.34,4182.83,14034.45,20402.86,13248.63,17269.63
a_0,7.15,6.62,8.32,6.74,8.61,26.07,876.81,1311.4,1875.05,2149.64,2721.94,2827.15,12475.56,9615.68,20727.03,18375.7
g_0,6.49,5.5,9.18,6.09,9.2,27.37,674.57,993.16,1811.44,2382.61,4503.46,3716.61,10951.02,10075.05,10817.43,13337.42
