,e_1,d_1,f_1,c_1,b_1,a_1,h_1,g_1,d_0,c_0,b_0,f_0,h_0,e_0,a_0,g_0
e_1,0.67,5.06,3.06,6.13,6.15,5.27,2.85,2.76,1.97,1.59,2.42,2.37,2.55,,2.24,2.13
d_1,6.76,0.67,5.95,5.62,5.18,8.38,2.59,1.73,,2.48,1.93,1.63,1.9,2.38,1.8,0.98
f_1,8.22,5.47,0.66,6.05,5.89,4.62,1.85,3.12,2.52,2.19,1.66,,1.11,2.18,1.81,1.68
c_1,5.84,6.83,6.39,0.64,8.16,4.43,2.91,3.01,1.3,,1.99,2.49,2.17,2.09,2.25,1.52
b_1,6.28,6.08,6.63,3.96,0.62,7.15,2.6,2.55,2.64,3.05,,2.07,1.92,1.98,,2.36
a_1,7.45,6.02,9.44,7.66,4.92,0.58,3.62,2.92,2.19,2.79,2.56,2.89,1.88,2.51,,2.33
h_1,4.72,5.29,5.59,5.3,4.26,3.91,0.6,2.98,1.72,2.1,1.39,1.41,,2.36,1.84,1.63
g_1,4.79,5.34,5.25,4.43,5.16,4.98,1.68,0.6,2.3,1.9,2.37,3.88,1.13,1.57,2.0,
d_0,3.46,,4.38,4.68,3.95,6.45,2.22,1.97,0.71,2.18,1.53,1.48,1.47,1.82,1.42,1.48
c_0,5.43,3.12,5.22,,3.76,5.58,2.04,2.01,1.99,0.69,2.16,2.3,1.32,1.52,1.61,1.54
b_0,5.97,4.99,5.35,6.13,,4.85,3.21,2.1,2.31,1.35,0.67,1.75,1.07,1.14,1.88,1.56
f_0,4.99,6.13,,4.96,5.11,4.84,3.46,1.43,1.93,1.43,2.19,0.66,1.41,2.51,1.57,1.07
h_0,4.1,4.83,6.5,3.82,4.52,4.55,,2.59,1.62,1.42,2.07,1.42,,1.38,1.61,1.03
e_0,,5.59,8.02,7.18,7.47,4.66,1.91,2.32,1.92,2.58,2.97,1.52,1.72,0.6,,1.59
a_0,5.24,7.07,6.22,6.23,,,2.96,2.95,2.56,2.45,1.22,2.09,2.01,,0.61,1.64
g_0,5.03,7.29,4.93,5.56,5.25,4.01,1.48,,2.06,2.08,2.19,2.01,1.28,1.41,2.03,
