,f_1,d_1,e_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,e_0,g_0
f_1,10932.59,4705.69,9411.11,7205.31,10216.87,29701.1,5596107.36,16732360.07,12515084.23,18089136.07,32541583.17,30018377.02,143116613.44,156884048.93,153202719.04,319986956.8
d_1,4665.84,15227.29,5159.02,5534.41,11185.26,41340.36,5732892.98,10346964.28,14512047.77,38446918.74,34273829.97,50906873.46,152489799.83,208190326.86,280515024.88,409532820.53
e_1,4365.56,4780.15,15232.46,9767.52,9917.79,38354.03,5145372.71,27669306.3,12251806.38,19972078.39,35425008.12,59931219.49,149630676.57,173699815.19,206999560.48,392460914.47
c_1,3950.72,5315.25,4600.39,22745.27,19758.91,45141.91,4737027.06,14712271.66,11605206.96,10804624.92,25450876.68,46736665.03,146539162.48,171938694.54,217407604.75,422332719.64
b_1,3566.0,5918.26,4942.79,6579.69,38913.44,85646.02,5523153.61,13620342.29,12208231.74,18759347.53,16793645.65,53207505.89,146373942.5,116185714.58,230929458.43,431179108.43
a_1,4630.08,5707.0,5183.26,6444.52,13418.78,189741.72,5843708.85,15849752.67,14006190.92,20564872.7,29958481.76,54710228.18,151376218.76,127324363.1,282944374.27,338592609.94
h_1,5797.72,5754.87,5935.47,9424.0,10286.29,43495.14,12328142.0,15918545.82,20043498.44,19298735.64,35223128.15,57527594.43,111612803.13,177128934.25,272913323.68,596779522.68
d_0,4331.72,4389.23,4929.72,15882.94,12769.42,45320.87,5816177.31,26192560.42,12423216.87,14026367.62,38186960.95,62384956.74,163027791.86,198924199.61,293148753.2,418856108.13
g_1,3864.32,9006.72,4913.03,9343.87,10671.06,42355.7,6441525.64,14092469.6,34144667.07,21176637.36,35527025.68,83607618.73,159591956.68,231105364.77,317164066.49,369224126.05
c_0,4580.94,5565.65,6657.14,7434.73,8910.28,49196.42,6567837.27,20502662.79,13929931.85,39211685.66,72856017.7,69634272.5,176168340.17,255572315.48,340415051.38,522728033.94
b_0,4631.31,6538.84,5787.5,9936.97,7795.88,37507.11,6896829.45,17460155.35,15450889.47,23117660.22,62141562.21,59514412.83,197729740.44,432922077.78,367181102.69,491189188.98
f_0,3626.85,5977.24,4322.7,9299.05,14301.32,51984.26,6398292.39,17497357.38,16100866.79,25059695.55,36160823.69,108293534.14,164636151.07,219829659.48,627776997.95,455243028.0
h_0,6390.24,5934.04,6189.57,8532.46,11081.35,35609.25,4638060.37,16911553.9,20181731.65,21341706.75,34412217.35,52145480.56,131072178.17,196819181.62,311832959.45,577441418.14
a_0,4220.34,6601.27,5557.5,9148.34,11515.88,33326.41,7582199.63,19030733.91,13106670.51,26372383.44,37353496.47,69680084.52,197329477.81,431064475.12,299486463.09,530366234.44
e_0,5320.77,5606.35,3437.05,10249.67,13531.96,47972.16,7181319.5,17628435.04,16239269.66,22841410.5,37842112.04,55767275.54,223747958.43,262031915.02,678616426.07,446916308.67
g_0,4149.41,8017.31,4571.54,8298.24,11468.94,50504.63,5920347.65,16507783.24,10439254.81,22999444.91,34850525.61,91855797.7,146015808.32,215765581.74,384475864.77,309267267.14
