,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,e_0,a_0,g_0
f_1,15.99,1.2,0.49,0.5,0.45,0.44,0.89,0.84,0.87,0.76,0.81,0.36,0.73,0.58,0.82,0.9
e_1,0.52,16.57,0.75,0.52,0.33,0.52,0.87,2.02,0.78,0.78,1.26,0.96,1.12,0.46,1.13,0.95
c_1,0.55,0.38,19.83,0.44,1.33,0.52,0.85,0.81,0.29,0.76,0.58,0.96,0.96,1.14,0.78,0.78
d_1,0.7,0.55,0.38,22.06,0.49,0.38,0.8,0.31,1.93,0.83,1.02,1.01,1.22,0.96,1.06,1.09
b_1,0.48,0.41,0.54,0.54,21.76,1.47,0.76,0.75,0.77,0.71,0.27,0.9,0.92,1.03,0.59,0.83
a_1,0.5,0.39,0.49,0.6,0.59,31.8,1.12,0.94,1.05,1.41,1.1,1.1,0.8,0.96,0.3,0.97
h_1,1.04,0.61,0.53,0.86,0.63,0.57,5.71,0.93,1.07,1.55,1.15,1.19,0.55,1.4,1.22,1.77
d_0,0.6,0.67,1.71,0.28,0.83,0.57,1.0,3.08,1.02,1.09,1.3,1.32,1.29,1.52,1.08,1.34
c_0,0.71,0.67,0.38,0.89,0.56,0.66,1.44,1.04,3.55,1.17,3.28,1.45,1.47,1.09,1.47,1.54
g_1,0.54,0.53,0.81,1.24,0.6,0.69,0.9,0.95,1.07,7.38,1.04,2.08,1.19,1.31,1.15,0.36
b_0,0.86,0.72,0.78,0.62,0.25,0.36,1.43,1.09,1.4,1.41,4.68,1.15,1.55,1.33,3.76,1.3
f_0,0.37,0.53,0.87,0.92,0.67,0.74,1.26,1.15,0.99,1.3,1.4,4.45,1.29,3.74,1.48,1.34
h_0,1.16,0.6,0.77,0.75,0.52,0.68,0.58,1.34,1.47,1.58,1.49,1.08,0.75,0.98,1.13,1.77
e_0,0.69,0.26,0.8,1.08,0.82,0.56,1.37,1.25,1.3,1.09,1.03,1.44,1.18,5.05,1.66,1.73
a_0,0.88,0.67,0.66,0.99,0.73,,1.06,1.58,1.44,0.83,1.34,1.19,1.64,1.53,5.63,1.41
g_0,0.54,0.56,0.68,1.61,0.6,0.66,1.05,0.89,1.42,0.87,1.41,2.13,0.92,1.24,1.37,0.71
