,e_1,f_1,c_1,d_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
e_1,0.95,0.42,0.54,0.37,0.4,0.27,0.29,0.49,0.3,0.25,0.3,0.3,0.23,0.27,0.15,0.23
f_1,0.73,0.95,0.45,0.34,0.38,0.28,0.27,0.33,0.3,0.24,0.27,0.16,0.2,0.23,0.13,0.2
c_1,0.44,0.46,0.94,0.48,0.65,0.25,0.33,0.24,0.18,0.29,0.23,0.24,0.19,0.23,0.19,0.2
d_1,0.46,0.62,0.39,0.95,0.41,0.27,0.33,0.21,0.47,0.26,0.27,0.26,0.21,0.25,0.17,0.18
b_1,0.49,0.47,0.42,0.48,0.94,0.54,0.36,0.35,0.3,0.24,0.18,0.26,0.19,0.25,0.16,0.24
a_1,0.54,0.59,0.57,0.59,0.38,0.94,0.39,0.3,0.34,0.3,0.31,0.36,0.22,0.35,0.26,0.26
h_1,0.71,0.88,0.61,0.81,0.59,0.49,0.76,0.44,0.46,0.53,0.43,0.36,0.31,0.33,0.32,0.45
d_0,0.65,0.74,1.29,0.54,0.64,0.48,0.46,0.68,0.4,0.41,0.47,0.39,0.35,0.46,0.33,0.32
c_0,0.77,0.8,0.67,0.7,0.62,0.54,0.52,0.56,0.67,0.47,0.78,0.46,0.4,0.46,0.38,0.38
g_1,0.73,0.72,0.73,1.06,0.66,0.43,0.48,0.44,0.51,0.75,0.45,0.59,0.32,0.41,0.33,0.28
b_0,0.78,0.82,0.8,0.89,0.54,0.56,0.56,0.5,0.43,0.53,0.67,0.39,0.67,0.41,0.35,0.38
f_0,0.66,0.67,0.85,0.86,0.73,0.47,0.6,0.61,0.57,0.4,0.63,0.69,0.4,0.44,0.63,0.35
a_0,0.93,0.94,1.01,0.78,0.8,0.3,0.64,0.66,0.58,0.59,0.45,0.49,0.65,0.51,0.34,0.46
h_0,0.84,1.08,0.94,0.9,0.67,0.57,0.43,0.56,0.49,0.61,0.58,0.49,0.37,0.41,0.35,0.47
e_0,0.58,0.97,1.12,1.01,0.96,0.59,0.57,0.64,0.49,0.54,0.55,0.44,0.45,0.62,0.63,0.44
g_0,0.85,0.8,0.91,1.34,0.74,0.58,0.57,0.59,0.63,0.44,0.57,0.64,0.4,0.52,0.38,0.36
