,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.0,1.4,0.8,1.0,0.81,0.77,0.36,0.4,0.37,0.38,,0.39,0.28,0.36,0.25,0.37
e_1,0.71,1.0,1.01,0.78,0.79,0.78,0.49,0.59,0.54,0.38,0.36,0.36,0.42,,0.37,0.24
c_1,1.25,0.99,1.0,0.88,1.21,0.74,0.48,0.39,0.52,,0.42,0.33,0.38,,0.33,0.41
d_1,1.0,1.28,1.14,1.0,0.78,0.82,0.63,,0.37,0.53,0.5,0.39,0.34,0.29,0.36,0.25
b_1,1.23,1.27,0.83,1.29,1.0,1.16,0.51,0.52,0.49,0.47,0.42,,0.42,,0.4,0.32
a_1,1.3,1.28,1.36,1.22,0.86,1.0,0.7,0.72,0.55,,0.5,,0.53,0.39,,0.42
h_1,2.74,2.02,2.09,1.6,1.95,1.43,1.0,0.85,1.18,1.03,0.66,0.75,,0.55,0.7,0.64
d_0,2.47,1.7,2.58,,1.93,1.39,1.17,1.0,0.93,1.16,1.08,0.79,0.87,0.5,0.71,0.93
g_1,2.72,1.87,1.92,2.72,2.02,1.82,0.85,1.07,1.0,0.81,1.33,0.8,0.62,,0.82,
c_0,2.64,2.63,,1.9,2.13,,0.97,0.87,1.24,1.0,1.08,1.26,0.83,0.72,0.73,0.6
f_0,,2.79,2.37,2.01,2.4,1.99,1.52,0.93,0.75,0.92,1.0,0.99,1.04,1.19,,0.68
b_0,2.56,2.74,3.07,2.55,,,1.33,1.27,1.24,0.79,1.01,1.0,0.87,0.63,1.0,0.79
h_0,3.52,2.41,2.62,2.93,2.4,1.89,,1.15,1.6,1.21,0.96,1.15,,0.81,0.77,0.92
e_0,2.8,,,3.41,,2.58,1.82,1.99,,1.4,0.84,1.59,1.24,1.0,,1.05
a_0,4.02,2.71,3.06,2.79,2.48,,1.43,1.41,1.23,1.36,,1.0,1.3,,1.0,
g_0,2.68,4.08,2.46,4.03,3.13,2.36,1.57,1.08,,1.67,1.47,1.26,1.08,0.95,,
