,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
f_1,1.15,76.49,72.23,89.83,87.64,89.52,13.67,18.89,30.67,17.71,15.62,,8.29,14.23,11.3,25.23
e_1,58.75,1.15,84.87,82.92,78.16,85.45,21.03,24.48,19.52,17.71,13.44,22.38,10.68,17.62,16.95,
d_1,97.39,123.97,1.15,89.83,107.11,81.74,24.85,,14.31,20.0,12.57,18.52,8.83,26.43,8.27,23.43
c_1,82.24,112.34,141.46,1.15,82.63,104.44,22.78,8.93,42.93,,21.41,16.27,17.65,21.76,10.59,15.62
b_1,119.39,119.83,113.17,54.81,1.15,170.91,31.54,20.66,29.27,25.83,,23.35,12.3,19.47,14.74,14.91
a_1,205.61,171.19,188.61,215.6,76.11,1.15,,26.44,,22.14,41.29,31.59,27.07,,17.84,
h_1,90.27,115.97,89.34,115.5,96.4,,2.0,16.12,28.0,24.8,19.93,14.51,,19.47,12.11,21.87
d_0,84.11,43.31,,101.06,68.86,78.33,26.45,2.98,42.93,20.67,21.41,25.57,11.94,16.82,19.94,19.29
g_1,115.66,138.27,161.67,115.5,125.74,,24.85,27.54,2.0,20.0,30.42,28.26,15.62,26.43,,27.33
c_0,105.74,108.94,45.27,,103.29,125.33,41.0,22.79,23.0,2.87,19.27,17.32,16.92,20.56,16.95,18.22
b_0,148.04,108.94,84.87,147.0,,98.95,29.29,24.48,28.0,12.92,3.14,15.34,14.5,21.76,12.11,15.62
f_0,,138.27,169.75,77.0,144.6,117.5,31.54,20.03,16.95,20.0,27.52,2.97,18.45,23.13,11.3,21.87
h_0,78.74,85.6,106.09,115.5,131.45,78.33,,25.42,23.0,20.67,18.65,19.89,,19.47,11.3,16.4
a_0,148.04,299.58,141.46,134.75,241.0,,48.24,47.21,46.0,34.44,15.21,33.56,23.88,3.06,30.82,
g_0,123.37,99.86,125.74,129.36,120.5,134.29,26.45,24.48,,23.85,38.53,33.56,12.69,20.56,,
e_0,231.31,,212.19,179.67,206.57,,39.05,26.44,58.55,51.67,34.0,19.18,21.37,,,3.09
