,e_1,f_1,d_1,c_1,b_1,a_1,h_1,d_0,g_1,c_0,b_0,f_0,h_0,a_0,g_0,e_0
e_1,1.05,1.16,1.7,1.93,1.71,1.37,0.64,0.62,0.66,0.51,0.51,0.62,0.39,0.43,0.4,0.63
f_1,1.92,1.05,1.59,1.78,1.64,1.29,0.53,0.51,0.66,0.47,0.52,0.53,0.32,0.4,0.44,0.39
d_1,1.84,1.86,1.04,1.9,1.65,1.6,0.64,0.76,0.48,0.59,0.51,0.52,0.38,0.45,0.28,0.43
c_1,1.69,1.91,2.25,1.05,2.07,1.57,0.78,0.36,0.68,0.66,0.52,0.54,0.42,0.46,0.39,0.4
b_1,2.25,2.34,2.39,1.28,1.05,2.16,0.86,0.6,0.78,0.89,0.89,0.6,0.5,0.53,0.48,0.57
a_1,2.73,3.33,2.94,2.43,1.51,1.06,0.97,0.94,1.1,0.82,0.87,0.83,0.75,1.08,0.61,0.6
h_1,5.01,5.69,4.87,4.61,4.15,4.21,1.28,1.6,2.02,1.32,1.46,1.42,1.45,1.22,1.27,1.33
d_0,3.97,5.56,7.75,6.29,5.77,4.59,2.18,1.42,2.14,1.66,1.57,1.64,1.31,1.52,1.36,1.56
g_1,6.25,6.09,5.6,6.07,5.77,4.44,1.78,1.93,1.27,1.66,1.78,1.76,1.09,1.44,1.44,1.39
c_0,6.07,6.5,3.76,8.28,5.21,5.84,2.41,2.61,1.88,1.38,2.14,1.92,1.52,1.53,1.48,1.73
b_0,6.01,6.11,5.74,7.32,7.32,5.83,2.28,1.96,2.17,1.2,1.39,1.73,1.4,1.67,1.4,1.49
f_0,6.08,8.85,6.47,6.35,5.72,5.18,2.32,2.05,1.66,1.78,1.86,1.37,1.3,1.47,1.02,1.92
h_0,7.96,8.57,7.74,8.12,7.44,6.01,3.42,2.34,3.0,2.2,2.16,2.29,2.1,1.67,1.78,1.89
a_0,9.77,9.86,7.99,8.84,10.28,8.61,3.46,2.52,3.2,2.38,1.73,2.66,2.33,1.55,2.05,2.35
g_0,8.61,9.95,9.51,8.97,9.94,7.47,2.48,2.79,3.75,2.37,2.44,2.64,1.76,2.28,1.96,2.82
e_0,10.63,11.42,9.3,9.42,7.57,7.53,3.21,2.57,2.84,2.38,2.36,1.59,2.05,2.26,1.48,1.5
