,e_1,f_1,d_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
e_1,1.0,0.82,1.08,1.53,1.84,3.71,16.71,23.03,29.25,47.46,42.43,58.7,75.98,89.26,107.75,142.03
f_1,1.22,1.0,1.03,1.7,1.93,3.64,13.03,21.05,30.14,32.88,40.78,43.29,72.93,68.07,75.93,119.76
d_1,0.93,0.97,1.0,1.18,1.62,3.96,16.04,18.73,38.42,29.6,40.6,49.59,62.13,78.49,104.36,113.13
c_1,0.66,0.59,0.85,1.0,1.79,2.18,10.3,13.37,11.12,15.78,26.68,32.37,42.42,55.5,73.53,94.1
b_1,0.54,0.52,0.62,0.56,1.0,3.11,9.78,13.54,16.68,16.69,17.53,28.11,38.39,50.63,59.72,71.48
a_1,0.27,0.28,0.25,0.46,0.32,1.0,4.6,6.16,10.01,9.09,12.27,13.5,23.7,28.82,22.83,45.23
h_1,0.06,0.08,0.06,0.1,0.1,0.22,1.0,1.67,1.81,1.99,2.33,3.04,4.8,4.82,6.12,7.44
g_1,0.04,0.05,0.05,0.08,0.07,0.15,0.6,1.0,1.36,1.38,1.57,2.74,2.85,3.37,5.53,5.2
c_0,0.03,0.04,0.03,0.08,0.06,0.09,0.55,0.76,1.0,1.24,1.87,1.76,2.25,2.87,4.01,4.2
d_0,0.02,0.03,0.03,0.07,0.06,0.11,0.51,0.76,0.84,1.0,1.38,1.61,2.51,2.76,3.39,4.67
b_0,0.02,0.03,0.02,0.04,0.05,0.08,0.44,0.59,0.53,0.73,1.0,1.03,2.93,2.51,3.0,3.37
f_0,0.02,0.02,0.02,0.03,0.03,0.07,0.31,0.37,0.57,0.63,0.96,1.0,1.62,2.19,4.07,2.53
a_0,0.01,0.01,0.02,0.02,0.03,0.04,0.22,0.36,0.42,0.37,0.35,0.67,1.0,1.11,1.45,1.57
h_0,0.01,0.01,0.01,0.02,0.02,0.04,0.21,0.3,0.34,0.37,0.39,0.44,0.84,1.0,1.19,1.69
e_0,0.01,0.01,0.01,0.01,0.02,0.04,0.16,0.17,0.26,0.32,0.31,0.27,0.66,0.81,1.0,1.32
g_0,0.01,0.01,0.01,0.01,0.01,0.02,0.13,0.19,0.23,0.21,0.3,0.41,0.6,0.58,0.72,
