,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,b_0,d_0,f_0,h_0,a_0,e_0,g_0
d_1,1.55,0.97,0.91,0.74,0.83,0.72,1.0,0.94,1.65,1.28,0.9,1.04,1.16,0.93,0.91,1.03
f_1,0.87,1.55,1.36,0.85,0.76,0.78,0.99,0.88,0.91,0.99,1.07,0.67,0.93,0.87,0.69,0.91
e_1,0.8,0.86,1.54,1.12,0.86,0.7,1.05,0.99,1.02,1.01,1.69,1.06,1.2,0.88,0.8,1.06
c_1,1.0,0.9,0.76,1.58,1.44,0.74,1.03,1.0,0.75,0.79,0.88,1.07,1.06,0.9,0.86,0.98
b_1,0.97,1.03,0.9,0.75,1.62,1.35,1.08,0.93,1.08,0.88,0.8,0.99,1.19,0.86,0.91,1.08
a_1,1.01,1.01,1.03,1.02,0.67,1.73,1.22,1.12,1.18,1.37,1.25,0.98,1.42,1.03,1.13,1.12
h_1,1.24,1.42,1.03,1.05,1.02,0.91,1.8,1.48,1.23,1.24,1.08,1.22,1.07,1.14,1.08,1.63
g_1,1.59,1.2,0.96,1.05,1.0,0.89,1.17,1.88,1.45,1.25,1.12,1.74,1.45,1.11,1.28,1.13
c_0,1.1,1.28,1.13,1.15,0.87,0.97,1.37,1.21,1.77,2.27,1.43,1.46,1.66,1.57,1.26,1.51
b_0,1.16,1.3,1.21,1.38,0.94,0.73,1.53,1.34,1.16,1.77,1.51,1.39,1.66,1.86,1.28,1.43
d_0,0.81,1.06,1.03,1.99,1.3,0.83,1.53,1.38,1.1,1.21,1.75,1.44,1.43,1.14,1.3,1.37
f_0,1.31,1.2,0.99,1.33,1.16,0.97,1.38,1.27,1.41,1.57,1.36,1.81,1.67,1.21,2.25,1.33
h_0,1.41,1.47,1.11,1.28,1.05,0.88,1.41,1.68,1.34,1.44,1.43,1.42,1.38,1.21,1.38,1.79
a_0,1.41,1.31,1.21,1.32,1.17,0.81,1.52,1.38,1.31,1.31,1.45,1.6,1.8,1.86,1.2,1.76
e_0,1.33,1.48,0.9,1.45,1.3,0.92,1.39,1.42,1.4,1.58,1.18,1.13,1.78,1.48,1.93,1.73
g_0,1.7,1.24,1.13,1.35,1.18,1.03,1.34,1.19,1.41,1.47,1.28,1.93,1.4,1.1,1.27,1.26
