,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,0.43,0.84,0.84,0.91,0.84,0.77,0.2,0.18,0.25,0.18,0.27,0.18,0.1,0.2,0.15,0.17
e_1,0.6,0.43,1.06,0.91,0.95,0.89,0.24,0.21,0.27,0.18,0.25,0.18,0.14,0.26,0.2,0.14
c_1,0.99,0.81,0.4,1.29,0.88,0.76,0.24,0.13,0.29,0.26,0.2,0.19,0.15,0.17,0.18,0.14
d_1,1.0,1.08,1.02,0.39,0.96,0.85,0.27,0.29,0.17,0.19,0.19,0.2,0.14,0.16,0.18,0.09
b_1,1.16,1.1,0.63,1.2,0.37,0.96,0.34,0.22,0.35,0.3,0.21,0.32,0.17,0.2,0.24,0.15
a_1,1.49,1.33,1.07,1.29,0.62,0.33,0.42,0.29,0.41,0.31,0.25,0.34,0.19,0.26,0.38,0.19
h_1,1.97,1.78,1.81,1.61,1.74,1.76,0.28,0.36,0.46,0.33,0.34,0.37,0.31,0.32,0.35,0.26
d_0,1.89,1.31,2.24,2.78,1.7,1.6,0.65,0.32,0.65,0.45,0.44,0.53,0.31,0.42,0.43,0.35
g_1,2.23,1.92,2.05,1.71,2.05,2.01,0.42,0.45,0.26,0.34,0.38,0.36,0.24,0.38,0.41,0.3
c_0,2.27,1.97,3.12,1.16,2.57,2.17,0.65,0.54,0.54,0.29,0.38,0.52,0.33,0.42,0.43,0.25
f_0,3.03,2.07,2.24,1.84,1.98,1.91,0.59,0.42,0.39,0.4,0.27,0.42,0.28,0.38,0.44,0.18
b_0,2.28,2.1,3.39,1.54,3.03,1.95,0.62,0.49,0.49,0.24,0.42,0.28,0.29,0.39,0.39,0.27
h_0,2.54,2.25,2.42,2.2,2.25,2.14,0.86,0.49,0.62,0.46,0.46,0.45,0.39,0.37,0.44,0.31
e_0,3.42,3.11,2.91,2.23,2.61,2.34,0.81,0.57,0.62,0.48,0.28,0.49,0.35,0.25,0.47,0.26
a_0,2.93,2.71,3.22,2.52,2.81,2.48,0.88,0.55,0.67,0.4,0.53,0.3,0.38,0.46,0.26,0.37
g_0,3.23,2.82,2.6,2.69,2.31,2.44,0.6,0.52,0.85,0.54,0.49,0.51,0.32,0.42,0.45,0.43
