,d_1,f_1,e_1,c_1,b_1,a_1,h_1,c_0,g_1,d_0,b_0,f_0,h_0,a_0,g_0,e_0
d_1,0.18,1.94,1.55,1.53,1.52,1.7,0.49,0.38,0.3,1.72,0.43,0.3,0.22,0.29,0.16,0.37
f_1,1.81,0.17,1.56,1.71,1.85,1.25,0.36,0.34,0.63,0.35,0.3,0.86,0.17,0.36,0.25,0.26
e_1,2.02,0.88,0.16,1.78,1.77,1.93,0.47,0.37,0.52,0.32,0.39,0.49,0.24,0.38,0.31,1.42
c_1,2.25,1.98,1.54,0.14,2.01,1.63,0.41,0.93,0.4,0.18,0.28,0.3,0.26,0.39,0.25,0.38
b_1,1.55,2.1,1.59,0.86,0.13,2.42,0.63,0.38,0.58,0.29,2.4,0.35,0.28,0.33,0.27,0.32
a_1,1.78,1.86,1.61,2.0,0.89,0.09,0.58,0.43,0.49,0.38,0.35,0.46,0.32,2.03,0.29,0.34
h_1,0.77,0.85,1.06,1.34,0.96,0.98,0.07,0.16,0.28,0.21,0.18,0.2,0.32,0.14,0.15,0.16
c_0,0.46,0.94,1.15,3.74,0.91,1.0,0.25,0.08,0.35,0.25,0.2,0.18,0.17,0.2,0.17,0.18
g_1,0.79,1.13,1.26,1.07,1.13,0.9,0.17,0.2,0.06,0.2,0.18,0.13,0.11,0.21,0.2,0.13
d_0,1.91,0.78,0.54,0.96,1.1,1.01,0.3,0.2,0.38,0.07,0.22,0.16,0.13,0.22,0.14,0.16
b_0,0.74,0.86,0.89,1.42,2.16,0.71,0.3,0.1,0.27,0.18,0.07,0.23,0.15,0.2,0.14,0.17
f_0,0.86,2.85,0.9,1.07,0.72,0.82,0.24,0.18,0.17,0.21,0.15,0.06,0.14,0.18,0.08,0.16
h_0,0.84,0.93,0.93,0.97,0.95,0.86,0.57,0.18,0.26,0.19,0.16,0.18,0.38,0.14,0.14,0.16
a_0,0.73,1.09,0.93,1.32,1.19,,0.24,0.12,0.26,0.28,0.08,0.16,0.11,0.05,0.11,0.14
g_0,0.74,1.14,1.03,0.99,0.89,0.79,0.2,0.15,0.44,0.27,0.16,0.16,0.09,0.15,0.29,0.19
e_0,0.7,1.05,3.51,0.76,0.81,1.29,0.32,0.19,0.25,0.24,0.17,0.09,0.14,0.16,0.12,0.04
