,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.37,1.45,1.59,1.78,3.21,17.95,32.64,31.35,41.08,42.46,48.82,64.36,91.42,115.12,124.12
e_1,0.73,1.0,1.21,1.46,1.5,3.61,23.52,42.57,29.03,31.71,49.51,66.99,84.11,85.45,133.59,147.66
d_1,0.69,0.83,1.0,0.89,1.27,2.05,13.5,21.74,32.27,18.02,27.49,41.46,53.1,72.64,80.64,70.79
c_1,0.63,0.69,1.11,1.0,1.47,2.47,12.94,15.27,16.71,22.47,23.41,36.81,51.4,61.4,84.37,85.02
b_1,0.57,0.67,0.79,0.68,1.0,3.64,16.06,20.6,22.46,23.49,34.82,39.25,50.99,47.11,74.47,92.88
a_1,0.31,0.27,0.49,0.41,0.28,1.0,5.78,8.57,8.41,12.43,11.49,16.58,18.98,25.48,35.1,29.04
h_1,0.06,0.04,0.08,0.07,0.06,0.16,1.0,1.35,1.49,2.0,1.99,2.33,3.71,4.34,5.38,6.86
d_0,0.03,0.02,0.05,0.07,0.05,0.11,0.75,1.0,1.04,1.17,1.14,1.96,2.52,2.96,4.07,4.33
c_0,0.03,0.04,0.03,0.06,0.04,0.12,0.66,0.96,1.0,1.16,1.87,1.58,2.6,3.09,3.83,3.69
g_1,0.02,0.03,0.05,0.05,0.04,0.08,0.48,0.87,0.85,1.0,1.34,2.23,1.92,2.26,3.54,3.37
b_0,0.02,0.02,0.04,0.04,0.03,0.08,0.49,0.82,0.55,0.72,1.0,1.21,1.74,3.1,2.63,2.43
f_0,0.02,0.01,0.03,0.03,0.02,0.06,0.44,0.54,0.63,0.45,0.86,1.0,1.35,1.7,3.34,1.9
h_0,0.02,0.01,0.02,0.02,0.02,0.06,0.27,0.38,0.39,0.53,0.58,0.75,0.99,1.01,1.5,1.91
a_0,0.01,0.01,0.01,0.02,0.02,0.03,0.23,0.32,0.35,0.45,0.35,0.56,1.0,1.0,1.15,1.42
e_0,0.01,0.01,0.01,0.01,0.01,0.03,0.19,0.25,0.26,0.26,0.39,0.3,0.67,0.77,1.0,1.03
g_0,0.01,0.01,0.01,0.01,0.01,0.03,0.15,0.23,0.27,0.29,0.41,0.52,0.52,0.77,0.95,1.0
