,f_1,e_1,d_1,c_1,b_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,h_0,a_0,e_0,g_0
f_1,1.0,1.19,0.96,1.05,0.99,0.82,0.83,0.98,0.9,1.09,0.9,0.87,0.85,0.92,0.82,0.95
e_1,0.86,1.0,0.92,1.13,1.01,0.99,1.18,1.48,0.91,1.04,1.18,1.26,1.12,1.02,1.16,1.19
d_1,1.06,1.09,1.0,0.9,1.01,0.87,0.95,1.05,1.39,0.83,0.97,1.0,1.04,1.06,0.96,0.84
c_1,0.96,0.89,1.1,1.0,1.31,1.0,0.95,0.7,0.77,0.85,0.76,0.97,0.97,0.96,1.01,1.02
b_1,0.98,0.99,0.99,0.76,1.0,1.52,1.13,0.98,1.11,1.07,1.15,1.05,1.1,0.83,1.03,1.19
a_1,1.18,0.98,1.13,0.98,0.68,1.0,1.14,1.01,1.07,1.23,1.04,1.0,0.96,1.17,1.06,0.95
h_1,1.17,0.87,1.06,1.07,0.86,0.82,1.0,0.92,0.92,1.19,0.99,0.88,0.95,0.99,0.99,1.1
d_0,0.97,0.68,0.94,1.5,1.04,0.96,1.1,1.0,0.91,1.07,0.9,1.09,1.09,1.04,1.1,1.08
c_0,1.11,1.1,0.74,1.17,0.88,0.94,1.06,1.07,1.0,1.13,1.43,0.89,1.07,1.17,0.99,1.0
g_1,0.95,0.94,1.26,1.15,0.96,0.85,0.82,0.92,0.93,1.0,1.09,1.22,0.89,0.9,0.93,0.98
b_0,1.1,0.89,0.98,1.25,0.89,1.02,0.98,1.05,0.71,0.91,1.0,0.84,1.05,1.33,0.86,0.89
f_0,1.04,0.79,1.03,1.05,0.99,1.0,1.13,0.94,1.11,0.81,1.18,1.0,1.04,1.15,1.57,0.89
h_0,1.12,0.93,0.98,1.02,0.91,1.02,1.01,0.9,0.91,1.15,1.02,0.99,1.0,0.87,0.9,1.16
a_0,1.07,0.98,0.92,1.07,1.19,0.86,1.02,0.92,0.88,1.13,0.78,0.9,1.21,1.0,0.86,0.98
e_0,1.12,0.86,1.0,1.02,0.99,1.0,1.02,0.86,0.96,1.02,1.11,0.61,1.18,1.05,1.0,0.97
g_0,1.04,0.86,1.16,1.01,0.84,0.99,0.93,0.92,1.0,1.05,1.11,1.13,0.87,1.05,1.06,1.0
