,f_1,c_1,e_1,b_1,d_1,a_1,h_1,d_0,c_0,g_1,b_0,f_0,a_0,h_0,e_0,g_0
f_1,1.13,5.3,4.27,4.75,4.9,4.49,1.1,1.03,0.91,1.63,0.98,2.06,0.8,0.5,0.8,0.86
c_1,5.1,1.12,4.15,5.35,9.15,5.43,1.33,0.58,2.33,1.51,1.04,0.92,1.28,0.71,1.08,0.86
e_1,3.46,6.21,1.13,5.84,5.25,6.01,1.61,1.26,1.18,1.82,1.2,1.47,0.98,1.02,3.1,0.93
b_1,7.27,3.03,6.02,1.13,6.18,6.36,2.12,1.35,1.76,2.08,2.5,1.22,1.4,0.92,1.15,0.91
d_1,6.28,6.46,8.38,6.01,1.12,4.54,1.59,3.18,1.2,0.98,1.15,1.24,1.43,1.02,1.09,0.52
a_1,9.72,10.39,10.88,5.04,7.75,1.14,3.0,2.32,1.82,3.03,2.32,1.73,4.85,1.38,2.04,1.48
h_1,20.73,21.44,15.44,17.6,20.5,17.37,1.79,4.23,4.39,7.05,4.31,3.79,3.85,6.82,3.71,2.53
d_0,23.9,20.3,12.1,25.26,40.2,26.84,6.51,2.33,4.48,6.83,3.5,3.73,4.18,2.43,4.57,2.9
c_0,22.33,59.14,22.34,24.09,11.4,25.52,7.11,7.7,2.24,6.06,4.39,3.94,5.1,3.27,4.51,3.41
g_1,21.08,24.86,26.39,21.75,21.36,24.61,4.92,5.63,4.92,1.78,5.33,4.95,5.24,2.49,4.45,6.96
b_0,22.33,51.97,27.47,50.52,21.36,27.93,7.84,8.06,3.05,8.45,2.45,4.8,5.54,3.54,5.28,4.64
f_0,57.72,38.11,33.85,28.22,21.07,25.84,9.14,6.36,4.99,5.22,6.37,2.42,5.54,5.12,5.04,2.65
a_0,37.9,48.31,35.65,49.71,32.16,62.64,10.67,8.35,5.85,11.67,3.43,7.35,2.44,5.72,6.5,5.06
h_0,32.63,39.43,36.82,43.5,33.21,40.53,17.45,7.07,7.13,9.58,6.87,7.24,5.78,8.84,7.19,4.99
e_0,49.37,45.13,119.68,35.19,35.94,40.53,15.67,8.45,7.82,11.07,7.68,4.29,7.56,5.72,2.7,4.34
g_0,41.23,42.87,41.37,46.06,39.17,42.18,10.24,9.9,8.77,19.45,6.78,8.82,9.82,5.64,6.9,10.44
