,d_1,f_1,e_1,c_1,b_1,a_1,h_1,g_1,c_0,d_0,b_0,f_0,a_0,h_0,e_0,g_0
d_1,15.86,0.67,0.53,0.4,0.46,0.6,0.97,0.77,1.99,0.38,1.26,1.14,1.1,1.15,0.9,1.27
f_1,0.54,16.52,1.16,0.46,0.56,0.4,0.83,0.76,0.84,0.94,0.91,0.42,1.1,0.9,0.56,0.84
e_1,0.49,0.56,17.4,0.8,0.54,0.49,0.81,0.81,0.95,2.26,1.09,0.93,0.96,0.94,0.5,0.88
c_1,0.53,0.54,0.45,18.62,1.2,0.71,0.85,0.96,0.29,0.81,0.51,0.96,0.77,0.91,0.94,0.79
b_1,0.57,0.55,0.48,0.58,20.66,1.41,0.78,0.87,0.81,0.9,0.29,0.77,0.66,0.77,0.87,0.79
a_1,0.5,0.51,0.46,0.72,0.73,29.51,1.12,0.86,0.74,0.9,0.87,1.09,0.24,0.99,1.42,1.1
h_1,0.91,1.21,0.63,0.63,0.54,0.54,4.77,1.66,1.13,0.99,1.44,1.16,1.03,0.81,1.41,1.71
g_1,1.37,0.58,0.57,0.65,0.52,0.66,1.15,6.17,0.91,0.89,1.48,2.3,1.3,1.49,1.83,0.76
c_0,0.94,0.73,0.96,0.47,0.49,0.57,1.15,1.21,3.13,1.04,3.37,1.29,1.49,1.1,1.38,1.32
d_0,0.44,0.71,0.76,2.23,0.72,0.66,0.99,1.11,0.6,2.55,0.99,1.0,1.12,1.2,0.97,0.89
b_0,0.88,0.92,0.66,1.1,0.36,0.43,1.22,1.15,1.23,1.14,3.48,1.21,2.88,1.29,1.18,1.26
f_0,1.03,0.34,0.58,0.78,0.77,0.75,1.36,1.41,1.56,1.03,1.38,3.94,1.27,1.24,4.21,1.58
a_0,0.79,0.79,0.76,1.03,0.65,0.37,1.11,1.29,1.15,1.0,1.44,1.21,4.2,1.65,1.15,1.17
h_0,0.88,1.28,0.73,0.79,0.58,0.62,0.64,1.81,1.05,1.0,1.11,1.13,1.4,0.72,0.9,1.37
e_0,0.85,0.6,0.43,0.91,1.0,0.78,1.19,1.19,1.22,1.06,1.25,1.29,1.12,1.5,5.03,1.1
g_0,1.74,0.65,0.6,0.67,0.6,0.53,1.16,0.75,1.32,0.87,1.23,1.95,1.08,1.34,1.62,0.78
