,f_1,e_1,c_1,d_1,b_1,a_1,h_1,d_0,g_1,c_0,f_0,b_0,h_0,e_0,a_0,g_0
f_1,1.98,1.27,0.7,0.72,0.63,0.57,0.9,0.91,0.84,0.88,0.58,0.95,0.93,0.69,0.8,0.84
e_1,0.83,1.99,0.93,0.69,0.68,0.69,0.98,1.59,0.94,0.95,1.02,0.98,1.06,0.78,1.02,0.81
c_1,0.81,0.58,2.25,0.75,1.38,0.77,0.86,0.76,0.88,0.45,0.89,0.68,0.92,0.83,0.92,1.03
d_1,0.74,0.76,0.56,2.4,0.66,0.74,1.01,0.61,1.05,1.88,1.2,1.2,0.97,1.11,0.97,1.02
b_1,0.78,0.7,0.78,0.71,2.59,1.45,0.9,0.99,0.9,0.78,0.9,0.54,1.01,0.96,0.9,1.03
a_1,0.81,0.71,0.91,0.84,0.72,3.32,0.91,0.99,0.81,0.84,0.93,0.91,1.04,1.03,0.72,0.96
h_1,1.1,0.8,0.96,0.84,0.72,0.63,2.15,0.86,1.36,0.98,0.98,1.16,0.75,0.91,0.96,1.31
d_0,0.87,0.75,1.41,0.59,0.87,0.78,1.12,1.57,0.91,0.83,1.2,1.03,0.99,0.92,0.95,1.21
g_1,0.8,0.74,0.73,1.36,0.72,0.65,1.02,0.83,2.5,1.0,1.66,1.16,1.06,1.27,1.32,0.84
c_0,0.86,0.94,0.61,0.92,0.66,0.68,1.14,1.01,1.33,1.79,1.23,2.24,1.14,1.43,1.44,1.17
f_0,0.62,0.61,0.89,0.97,0.94,0.95,1.21,1.09,1.07,1.28,1.99,1.2,1.11,2.63,1.1,1.31
b_0,0.94,0.89,0.92,0.95,0.57,0.64,1.13,0.92,1.26,0.97,1.05,2.09,1.15,1.22,2.22,1.31
h_0,1.13,0.78,0.82,0.85,0.79,0.8,0.88,1.02,1.3,0.95,1.02,1.17,0.9,1.26,1.14,1.38
e_0,0.75,0.63,0.96,0.92,0.95,0.75,1.28,1.16,1.19,1.07,1.24,1.35,1.3,2.64,1.44,1.44
a_0,1.07,0.78,0.9,0.9,0.8,0.49,1.03,1.02,1.0,1.01,1.12,1.14,1.3,1.19,2.64,1.23
g_0,0.55,0.77,0.83,1.31,0.89,0.82,1.07,0.77,0.84,1.17,1.73,1.25,1.11,1.38,1.02,0.97
